,,,June 2019,,,,,,,,,,,,,,June 2019,,,,,,,,,,,,,,June 2019,,,,,,,,,,,
Station No.,Station Name,Region,1,2,3,4,5,6,7,8,9,10,Decadal,Station No.,Station Name,Region,11,12,13,14,15,16,17,18,19,20,Decadal,Station No.,Station Name,Region,21,22,23,24,25,26,27,28,29,30,Decadal,Total
885,"MAINIT, SURIGAO DEL NORTE",13,0.0,,0.0,0.0,0.6,1.8,0.0,0.0,0.0,0.0,2.4,885,"MAINIT, SURIGAO DEL NORTE","13",0.0,0.0,0.0,2.2,0.0,,,,,,2.2,885,"MAINIT, SURIGAO DEL NORTE","13",,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4.6
881,"KORONADAL, SOUTH COTABATO",12,,,,,,,,,,,,881,"KORONADAL, SOUTH COTABATO","12",,,,,,,,,,,,881,"KORONADAL, SOUTH COTABATO","12",,,,,,,,,,,,
893,"PROSPERIDAD, AGUSAN DEL SUR",13,9.8,2.4,1.0,6.0,3.2,0.0,0.2,0.2,19.4,1.6,43.8,893,"PROSPERIDAD, AGUSAN DEL SUR","13",0.0,0.0,0.0,7.4,15.8,0.0,,,,,23.2,893,"PROSPERIDAD, AGUSAN DEL SUR","13",,,,,,,,,,,,67
862,"TABUK, KALINGA",CAR,0.0,0.0,0.8,32.4,0.0,0.0,0.0,0.0,0.0,7.4,40.6,862,"TABUK, KALINGA","CAR",0.2,30.2,2.6,1.0,0.0,4.0,0.0,0.0,0.0,0.0,38,862,"TABUK, KALINGA","CAR",0.0,2.4,0.0,0.0,0.6,2.0,0.0,1.4,1.2,48.4,56,134.6
295,"NSWRRDC SAN ILDEFONSO, BULACAN",3,,,,,,,,,,,,295,"NSWRRDC SAN ILDEFONSO, BULACAN","3",,,,,,238.8,,,,,238.8,295,"NSWRRDC SAN ILDEFONSO, BULACAN","3",,,,,,,,,,,,238.8
375,"DULAG, LEYTE",8,29.2,3.6,2.4,40.0,13.0,14.8,3.2,41.2,0.0,1.8,149.2,375,"DULAG, LEYTE","8",0.0,0.0,0.0,0.0,0.0,8.4,20.0,42.4,0.2,0.0,71,375,"DULAG, LEYTE","8",1.0,0.0,,,,,,,,,1,221.2
339,"STA. MARIA - PANGASINAN, PANGASINAN",1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2,0.0,0.0,5.2,339,"STA. MARIA - PANGASINAN, PANGASINAN","1",10.8,35.2,0.0,0.2,0.6,0.0,0.2,0.0,0.2,0.0,47.2,339,"STA. MARIA - PANGASINAN, PANGASINAN","1",0.0,0.0,16.8,16.0,38.8,16.6,29.6,92.0,90.0,70.6,370.4,422.8
373,"TANAY, RIZAL",4-A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,373,"TANAY, RIZAL","4-A",0.2,0.0,0.0,15.6,0.0,0.0,,,,,15.8,373,"TANAY, RIZAL","4-A",,,,,,,,,,,,15.8
366,"ISING, DAVAO DEL NORTE",11,11.6,0.0,25.2,1.8,0.4,0.0,6.6,1.6,0.0,20.8,68,366,"ISING, DAVAO DEL NORTE","11",0.0,0.2,19.8,0.0,84.4,24.2,3.4,0.2,0.2,0.0,132.4,366,"ISING, DAVAO DEL NORTE","11",0.0,0.0,6.0,9.6,1.6,0.0,0.0,0.0,,,17.2,217.6
368,"KITCHARAO, AGUSAN DEL NORTE",13,1.8,0.2,0.6,10.8,6.2,0.0,0.0,2.4,0.2,0.0,22.2,368,"KITCHARAO, AGUSAN DEL NORTE","13",0.0,0.0,0.0,1.2,0.0,0.2,,0.0,0.0,0.0,1.4,368,"KITCHARAO, AGUSAN DEL NORTE","13",0.0,0.2,4.6,0.2,0.0,2.2,0.0,0.0,0.0,0.0,7.2,30.8
875,"LASAM, CAGAYAN",2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,875,"LASAM, CAGAYAN","2",0.0,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4,875,"LASAM, CAGAYAN","2",0.0,0.0,7.2,13.0,0.0,0.0,0.0,0.0,0.2,16.6,37,40.4
869,"MALAYBALAY, BUKIDNON",10,,,,,,,,,,,,869,"MALAYBALAY, BUKIDNON","10",,,,,,,,,,,,869,"MALAYBALAY, BUKIDNON","10",,,,,,,,,,,,
361,"VITALI DISTRICT, ZAMBOANGA CITY",9,,,,,,,,,,,,361,"VITALI DISTRICT, ZAMBOANGA CITY","9",,,,,,,,,,,,361,"VITALI DISTRICT, ZAMBOANGA CITY","9",,,,,,,,,,,,
933,"UPI AGRICULTURAL SCHOOL, MAGUINDANAO",ARMM,125.6,1.8,16.4,4.0,0.6,0.4,0.2,10.8,1.6,8.4,169.8,933,"UPI AGRICULTURAL SCHOOL, MAGUINDANAO","ARMM",3.8,1.8,17.4,14.8,0.0,5.6,11.0,0.0,4.8,0.0,59.2,933,"UPI AGRICULTURAL SCHOOL, MAGUINDANAO","ARMM",1.2,0.0,0.0,10.4,3.6,0.0,0.8,38.4,0.2,0.4,55,284
900,"CATUBIG, NORTHERN SAMAR",8,,,,,,,,,,,,900,"CATUBIG, NORTHERN SAMAR","8",,,,,,,,,,,,900,"CATUBIG, NORTHERN SAMAR","8",,,,,,,0.0,,,,0,0
367,"PLARIDEL, MISAMIS OCCIDENTAL",10,,,,,,,,,,,,367,"PLARIDEL, MISAMIS OCCIDENTAL","10",,,,,,,,,,,,367,"PLARIDEL, MISAMIS OCCIDENTAL","10",,,,,,,,,,,,
853,"BANGA, AKLAN",6,0.0,2.0,21.2,8.0,0.0,0.0,0.0,2.4,10.2,0.0,43.8,853,"BANGA, AKLAN","6",0.0,0.0,1.8,0.0,0.0,0.0,,,,0.0,1.8,853,"BANGA, AKLAN","6",0.0,0.0,0.0,1.4,0.6,0.0,4.6,3.0,15.2,9.8,34.6,80.2
318,"UBAY, BOHOL",7,1.8,0.0,0.0,14.6,10.2,0.0,0.0,1.2,9.6,12.2,49.6,318,"UBAY, BOHOL","7",0.0,0.2,2.4,4.0,29.2,2.8,0.0,0.0,0.0,0.0,38.6,318,"UBAY, BOHOL","7",0.0,4.6,7.4,29.6,2.4,0.6,0.0,0.0,0.0,0.0,44.6,132.8
880,"T'BOLI, SOUTH COTABATO",12,22.2,0.2,22.4,15.2,46.4,37.4,11.4,8.2,21.6,88.0,273,880,"T'BOLI, SOUTH COTABATO","12",0.2,10.4,13.0,8.8,12.6,0.4,1.8,0.0,0.0,0.0,47.2,880,"T'BOLI, SOUTH COTABATO","12",0.0,0.4,6.0,3.4,0.4,9.0,1.0,9.6,39.2,2.8,71.8,392
916,"MAGALANG, PAMPANGA",3,0.0,0.0,37.0,18.6,41.2,23.2,0.0,2.8,5.6,0.2,128.6,916,"MAGALANG, PAMPANGA","3",5.4,2.6,28.0,21.2,11.8,0.6,0.2,0.0,0.2,0.0,70,916,"MAGALANG, PAMPANGA","3",0.0,0.0,49.2,30.6,65.6,28.0,32.0,130.4,118.4,101.6,555.8,754.4
873,"GINGOOG CITY, MISAMIS ORIENTAL",10,,,,,,,,,,,,873,"GINGOOG CITY, MISAMIS ORIENTAL","10",,,,,,,,,0.2,53.0,53.2,873,"GINGOOG CITY, MISAMIS ORIENTAL","10",0.0,0.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,55
342,"PAMPLONA, CAMARINES SUR",5,1.6,11.6,18.2,17.0,73.4,0.0,2.4,1.6,0.2,27.6,153.6,342,"PAMPLONA, CAMARINES SUR","5",0.2,0.0,8.2,16.0,0.0,0.0,0.0,18.4,1.0,0.0,43.8,342,"PAMPLONA, CAMARINES SUR","5",2.6,0.0,0.6,0.8,3.2,18.0,5.4,0.8,8.0,4.4,43.8,241.2
348,"BAIS, NEGROS ORIENTAL",7,0.6,0.8,0.6,0.4,2.4,3.0,0.0,12.2,0.0,0.0,20,348,"BAIS, NEGROS ORIENTAL","7",0.0,0.0,2.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,2.4,348,"BAIS, NEGROS ORIENTAL","7",0.0,0.6,0.4,,4.8,2.4,2.6,0.6,3.2,1.6,16.2,38.6
929,"PALAYAN CITY, NUEVA ECIJA",3,,,,,,,,,,,,929,"PALAYAN CITY, NUEVA ECIJA","3",,,,,,,,,,,,929,"PALAYAN CITY, NUEVA ECIJA","3",,,,,,,,,,,,
1552,"TUMAUINI(BRGY. ARCON), ISABELA",2,,,,,,,,,,,,1552,"TUMAUINI(BRGY. ARCON), ISABELA","2",,,,,,,,,,,,1552,"TUMAUINI(BRGY. ARCON), ISABELA","2",,,,,,,,,,,,
876,"ABULUG, CAGAYAN",2,0.0,180.0,94.6,61.8,0.0,0.0,0.0,0.0,313.6,358.0,1008,876,"ABULUG, CAGAYAN","2",360.0,66.0,0.0,0.0,0.0,0.4,0.0,12.0,167.8,95.8,702,876,"ABULUG, CAGAYAN","2",0.0,115.6,0.0,0.0,0.0,7.2,0.0,0.0,0.0,0.0,122.8,1832.8
357,"POLANCO, ZAMBOANGA DEL NORTE",9,,,,,,,,,,,,357,"POLANCO, ZAMBOANGA DEL NORTE","9",,,,,,,,,,,,357,"POLANCO, ZAMBOANGA DEL NORTE","9",,,,,,,,,,,,
1143,"MASBATE, MASBATE",5,,0.0,0.0,3.0,0.0,0.0,0.0,1.4,5.6,2.6,12.6,1143,"MASBATE, MASBATE","5",0.4,0.0,0.0,0.0,0.0,0.0,4.6,0.0,0.0,3.2,8.2,1143,"MASBATE, MASBATE","5",0.0,0.0,1.2,0.2,0.2,1.8,6.6,0.0,3.2,0.8,14,34.8
344,"LABO, CAMARINES NORTE",5,2.2,1.8,2.8,3.2,0.0,0.4,0.2,0.0,0.6,0.4,11.6,344,"LABO, CAMARINES NORTE","5",0.0,0.0,0.0,0.0,0.0,0.0,,,,,0,344,"LABO, CAMARINES NORTE","5",,,,,,,,,,,,11.6
922,"ROXAS PALAWAN, PALAWAN",4-B,0.8,0.8,0.8,0.4,1.0,1.0,1.0,1.0,0.8,0.8,8.4,922,"ROXAS PALAWAN, PALAWAN","4-B",1.0,1.0,1.0,0.0,1.8,1.0,0.4,16.2,0.0,0.0,22.4,922,"ROXAS PALAWAN, PALAWAN","4-B",11.0,0.8,0.8,0.6,0.6,1.2,0.4,6.8,1.8,1.4,25.4,56.2
329,"SAN ANTONIO, QUEZON",4-A,0.0,0.0,0.0,0.0,7.6,0.0,0.0,0.4,0.0,0.0,8,329,"SAN ANTONIO, QUEZON","4-A",0.2,0.0,0.0,0.0,0.0,0.0,0.4,0.0,1.2,0.0,1.8,329,"SAN ANTONIO, QUEZON","4-A",10.6,0.0,24.4,0.2,24.6,16.6,4.2,0.0,2.6,0.4,83.6,93.4
378,"BABATNGON, LEYTE",8,12.0,11.4,10.4,7.0,6.4,1.0,4.6,8.6,0.2,6.2,67.8,378,"BABATNGON, LEYTE","8",0.0,0.6,0.0,0.0,1.0,0.0,,,,,1.6,378,"BABATNGON, LEYTE","8",,,,,,,,,,,,69.4
354,"NAVAL, BILIRAN",8,0.0,0.0,0.0,11.0,8.2,5.4,0.4,0.2,0.0,0.0,25.2,354,"NAVAL, BILIRAN","8",0.0,0.0,0.0,0.0,0.4,0.0,,,,,0.4,354,"NAVAL, BILIRAN","8",,,,,,,,,,,,25.6
899,"CAN-AVID, EASTERN SAMAR",8,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.8,1.6,899,"CAN-AVID, EASTERN SAMAR","8",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.8,899,"CAN-AVID, EASTERN SAMAR","8",,,,,,,,,,,,2.4
363,"SULOP, POBLACION, DAVAO DEL SUR",11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,363,"SULOP, POBLACION, DAVAO DEL SUR","11",0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,363,"SULOP, POBLACION, DAVAO DEL SUR","11",,,,,,,,,,,,0
870,"LANAO DEL NORTE, LANAO DEL NORTE",10,,,,,,,,,,,,870,"LANAO DEL NORTE, LANAO DEL NORTE","10",,,,,,,,,,,,870,"LANAO DEL NORTE, LANAO DEL NORTE","10",,,,,,,,,,,,
898,"SAN MIGUEL, LEYTE",8,8.8,1.8,0.6,3.2,1.4,5.8,12.8,18.4,0.0,2.8,55.6,898,"SAN MIGUEL, LEYTE","8",0.0,0.0,0.0,0.2,0.4,0.0,,,,,0.6,898,"SAN MIGUEL, LEYTE","8",,,,,,,,,,,,56.2
902,"GERONA, TARLAC",3,,,,,,,,,,,,902,"GERONA, TARLAC","3",,,,,,,,,,,,902,"GERONA, TARLAC","3",,,,,,,,,,,,
987,"BASILAN, ISABELA CITY",9,,,,,,,,,,,,987,"BASILAN, ISABELA CITY","9",,,,,,,,,,,,987,"BASILAN, ISABELA CITY","9",,,,,,,,,,,,
376,"PIGCAWAYAN, COTABATO",12,,,,,,,,,,,,376,"PIGCAWAYAN, COTABATO","12",,,,,,,,,,,,376,"PIGCAWAYAN, COTABATO","12",,,,,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2
919,"PATNONGON, ANTIQUE",6,0.0,11.4,1.4,0.4,5.0,0.0,0.8,14.2,81.4,3.6,118.2,919,"PATNONGON, ANTIQUE","6",0.2,0.2,15.0,27.4,0.0,44.4,17.8,12.6,14.0,0.0,131.6,919,"PATNONGON, ANTIQUE","6",8.0,3.6,1.6,13.4,37.6,23.0,51.4,1.4,15.8,89.0,244.8,494.6
