,,,June 2014,,,,,,,,,,,,,,June 2014,,,,,,,,,,,,,,June 2014,,,,,,,,,,,
Station No.,Station Name,Region,1,2,3,4,5,6,7,8,9,10,Decadal,Station No.,Station Name,Region,11,12,13,14,15,16,17,18,19,20,Decadal,Station No.,Station Name,Region,21,22,23,24,25,26,27,28,29,30,Decadal,Total
885,"MAINIT, SURIGAO DEL NORTE",13,0.0,0.0,5.4,0.0,5.6,0.2,0.0,0.0,50.4,0.0,61.6,885,"MAINIT, SURIGAO DEL NORTE","13",0.0,0.0,17.2,0.2,72.2,27.4,1.4,0.0,0.0,1.2,119.6,885,"MAINIT, SURIGAO DEL NORTE","13",7.4,0.0,0.0,2.8,118.8,0.2,0.0,4.2,2.6,0.2,136.2,317.4
881,"KORONADAL, SOUTH COTABATO",12,8.2,0.0,31.8,0.0,0.0,56.2,67.4,0.0,6.2,20.0,189.8,881,"KORONADAL, SOUTH COTABATO","12",8.8,1.0,13.6,1.6,3.2,4.4,1.4,0.2,3.8,2.0,40,881,"KORONADAL, SOUTH COTABATO","12",11.8,0.2,0.0,0.0,0.0,0.4,0.2,0.2,9.8,4.0,26.6,256.4
893,"PROSPERIDAD, AGUSAN DEL SUR",13,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.6,2.2,29.2,893,"PROSPERIDAD, AGUSAN DEL SUR","13",0.2,2.8,27.6,0.2,0.0,3.2,0.0,1.0,12.0,9.2,56.2,893,"PROSPERIDAD, AGUSAN DEL SUR","13",11.8,0.0,0.0,0.0,0.0,1.2,8.6,70.6,1.4,1.6,95.2,180.6
862,"TABUK, KALINGA",CAR,17.4,9.8,7.0,23.8,2.4,2.6,0.0,0.0,,0.2,63.2,862,"TABUK, KALINGA","CAR",1.8,0.4,0.0,0.0,0.0,0.0,23.0,54.0,0.0,0.0,79.2,862,"TABUK, KALINGA","CAR",0.2,0.0,0.0,31.0,41.4,11.4,19.2,0.0,0.2,0.8,104.2,246.6
295,"NSWRRDC SAN ILDEFONSO, BULACAN",3,0.6,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.6,295,"NSWRRDC SAN ILDEFONSO, BULACAN","3",0.0,37.0,0.2,1.0,0.0,10.8,8.0,10.4,4.0,1.0,72.4,295,"NSWRRDC SAN ILDEFONSO, BULACAN","3",0.4,0.0,0.0,0.0,0.6,10.0,32.0,0.4,0.0,0.0,43.4,128.4
375,"DULAG, LEYTE",8,0.8,0.0,0.0,15.8,0.0,0.0,0.0,0.0,0.0,0.0,16.6,375,"DULAG, LEYTE","8",1.0,0.0,7.0,0.2,8.2,0.6,1.2,0.4,0.0,0.0,18.6,375,"DULAG, LEYTE","8",6.4,10.4,0.0,35.2,35.2,0.6,0.2,0.0,24.4,15.2,127.6,162.8
339,"STA. MARIA - PANGASINAN, PANGASINAN",1,0.0,0.0,0.0,0.0,0.0,0.0,4.2,2.0,13.6,7.6,27.4,339,"STA. MARIA - PANGASINAN, PANGASINAN","1",55.2,6.8,3.8,41.4,7.4,9.8,0.0,22.2,1.4,5.0,153,339,"STA. MARIA - PANGASINAN, PANGASINAN","1",4.6,21.2,53.4,0.0,0.0,10.2,29.4,0.0,0.0,2.2,121,301.4
373,"TANAY, RIZAL",4-A,0.0,1.0,1.6,1.2,1.4,0.0,15.8,0.0,0.0,0.0,21,373,"TANAY, RIZAL","4-A",0.0,,0.0,4.4,0.0,3.6,32.6,2.0,2.4,0.4,45.4,373,"TANAY, RIZAL","4-A",,,,0.0,0.2,6.6,1.2,0.0,25.2,0.0,33.2,99.6
366,"ISING, DAVAO DEL NORTE",11,7.2,0.0,30.4,0.0,0.0,1.4,2.4,0.2,0.0,18.0,59.6,366,"ISING, DAVAO DEL NORTE","11",1.4,4.4,1.8,0.4,4.6,13.0,1.8,0.0,0.0,3.2,30.6,366,"ISING, DAVAO DEL NORTE","11",0.0,3.4,22.0,14.4,14.6,0.2,0.0,0.0,18.2,20.6,93.4,183.6
