,,,Apr-14,,,,,,,,,,,,,,Apr-14,,,,,,,,,,,,,,Apr-14,,,,,,,,,,,
334,"BARLIG, MOUNTAIN PROVINCE",CAR,,,,,,,,,,,,334,"BARLIG, MOUNTAIN PROVINCE",CAR,,,,,,,,,,,,334,"BARLIG, MOUNTAIN PROVINCE",CAR,,,,,,,,,,,,
882,"KIDAPAWAN, COTABATO",12,0,0,0,12.2,0.2,0,0,0.2,0,19,31.6,882,"KIDAPAWAN, COTABATO",12,79.6,0,0.6,43.8,28.2,0.2,0,0.6,5.6,7,165.6,882,"KIDAPAWAN, COTABATO",12,7.2,18.4,6.8,25,51,0,0,8.8,0,0,117.2,314.4
336,"BALBALAN, KALINGA",CAR,,,,,,,,,,,,336,"BALBALAN, KALINGA",CAR,,,,,,,,,,,,336,"BALBALAN, KALINGA",CAR,,,,,,,,,,,,
345,"CASTILLA, SORSOGON",5,0.2,0,0,0,0,0,0,4,0,0,4.2,345,"CASTILLA, SORSOGON",5,0,0.4,19.6,70.6,17.6,0,12.4,6,2.4,0.4,129.4,345,"CASTILLA, SORSOGON",5,0.2,0,11.2,1,0,0,0,0,0.4,26.8,39.6,173.2
364,"MARAGUSAN, COMPOSTELA VALLEY",11,0,0,0,0.2,0,0,0,0,2.4,0,2.6,364,"MARAGUSAN, COMPOSTELA VALLEY",11,0,0.2,12.8,1.8,0.2,0.6,5.2,3.4,0,0,24.2,364,"MARAGUSAN, COMPOSTELA VALLEY",11,3,1.2,8.8,0.6,0.8,0.2,0,0,0,0,14.6,41.4
887,"CANTILAN, SURIGAO DEL SUR",13,0,5.4,11.8,1.8,0.6,3.6,32.4,7.2,10.2,1.2,74.2,887,"CANTILAN, SURIGAO DEL SUR",13,0.4,0.2,0.2,0,0.4,2.4,2.4,2,0,0,8,887,"CANTILAN, SURIGAO DEL SUR",13,0.2,0,0,0,6.2,15.4,0,0,0,0,21.8,104
347,"PANDAN, CATANDUANES",5,3,0,0,0,0,0,0,0,0,0.2,3.2,347,"PANDAN, CATANDUANES",5,0,5.2,0,70.8,0.4,0,19.6,4.8,0,1.6,102.4,347,"PANDAN, CATANDUANES",5,0.2,1.2,71.4,2.4,0.4,0.4,0,0,3.6,0,79.6,185.2
383,"SAN JOSE - NEGROS ORIENTAL, NEGROS ORIENTAL",7,,,,,,,,,,,,383,"SAN JOSE - NEGROS ORIENTAL, NEGROS ORIENTAL",7,,,,,,,,,,,,383,"SAN JOSE - NEGROS ORIENTAL, NEGROS ORIENTAL",7,,,,,,,,,,,,
337,"SUDIPEN, LA UNION",1,0,0,0,0,0,0.8,0,0,0,0,0.8,337,"SUDIPEN, LA UNION",1,0,0,0,0,0,0,0,0,0,0,0,337,"SUDIPEN, LA UNION",1,0,0,0,0,0,0,0,0,0,0.4,0.4,1.2
1103,"ABUCAY, BATAAN",3,0,0,0,0,0,0,0,0,0.2,0,0.2,1103,"ABUCAY, BATAAN",3,0,0,0,0,0,0,8.8,0,0,0,8.8,1103,"ABUCAY, BATAAN",3,0,0,0,0,0,0,0,0,0,0,0,9
362,"CATEEL, DAVAO ORIENTAL",11,0,0,5,12.8,0.2,3.2,31.2,0,9.2,0,61.6,362,"CATEEL, DAVAO ORIENTAL",11,0,0,0,6,20.2,20.8,3,27.6,0,9,86.6,362,"CATEEL, DAVAO ORIENTAL",11,35,4.8,0,29.8,0.2,4.4,0,0,0,0,74.2,222.4
326,"LEMERY, BATANGAS",4-A,0,0,0,0,0,0,0,0.4,0.2,0,0.6,326,"LEMERY, BATANGAS",4-A,,,0,0,0,0,,,,0,0,326,"LEMERY, BATANGAS",4-A,0,0,0,0,0,0,,,,,0,0.6
1081,"SAN JOSE - OCCIDENTAL MINDORO, OCCIDENTAL MINDORO",4-B,0,0,0,0,0,0,0,0,0,0,0,1081,"SAN JOSE - OCCIDENTAL MINDORO, OCCIDENTAL MINDORO",4-B,0,0,0,0,60.4,0.2,0,0,0,0,60.6,1081,"SAN JOSE - OCCIDENTAL MINDORO, OCCIDENTAL MINDORO",4-B,0,0,13.8,0,6.6,0,0,0,0,0,20.4,81
