,,,Apr-14,,,,,,,,,,,,,,Apr-14,,,,,,,,,,,,,,Apr-14,,,,,,,,,,,
880,"T'BOLI, SOUTH COTABATO",12,0,0,0,0,0,0,0,0,0,0,0,880,"T'BOLI, SOUTH COTABATO",12,7,23.4,1.8,37.2,3,0.2,15.6,26.2,0.2,9.8,124.4,880,"T'BOLI, SOUTH COTABATO",12,0.2,14.4,42.8,23.4,22,0.2,0,0.4,0,2.8,106.2,230.6
916,"MAGALANG, PAMPANGA",3,0,0,0,0,0,0,0,0,18.6,0,18.6,916,"MAGALANG, PAMPANGA",3,0,0,0,0,0,0,0,0,0,0,0,916,"MAGALANG, PAMPANGA",3,0,0,0,0,16.6,0,0,0,0,3,19.6,38.2
873,"GINGOOG CITY, MISAMIS ORIENTAL",10,0,0,0,0,0,24.4,20.2,4.4,2.6,3,54.6,873,"GINGOOG CITY, MISAMIS ORIENTAL",10,2.4,26.4,7.2,2.4,2.8,15.8,3.2,0.2,0,0,60.4,873,"GINGOOG CITY, MISAMIS ORIENTAL",10,0,0,0,0,32.6,0,0.8,0,0,0,33.4,148.4
342,"PAMPLONA, CAMARINES SUR",5,0,0,0,0,0,0,0,8.4,0,0,8.4,342,"PAMPLONA, CAMARINES SUR",5,0,0,2.4,52.4,4.2,0,0,0,0,0,59,342,"PAMPLONA, CAMARINES SUR",5,0,0,18.2,0,4.6,0,0,0,0,28.4,51.2,118.6
348,"BAIS, NEGROS ORIENTAL",7,0,0,0,0,0,0.4,0.2,0,0,2.8,3.4,348,"BAIS, NEGROS ORIENTAL",7,0.2,0.2,22,28.8,132.4,0,3,4.8,0,0,191.4,348,"BAIS, NEGROS ORIENTAL",7,0,0,0,0,0,0,0,0,0,0,0,194.8
929,"PALAYAN CITY, NUEVA ECIJA",3,0,0,0,0,0,0,0,0,0,0,0,929,"PALAYAN CITY, NUEVA ECIJA",3,0,0,0,0,0,0,0,0,0,0,0,929,"PALAYAN CITY, NUEVA ECIJA",3,0,0,0,0,21,0,0,59.2,0,0,80.2,80.2
1552,"TUMAUINI(BRGY. ARCON), ISABELA",2,0,0.2,0,1.6,0,0,0,4.4,0.2,11.6,18,1552,"TUMAUINI(BRGY. ARCON), ISABELA",2,0.4,0.2,0,0,0,0,0,0,0,0.2,0.8,1552,"TUMAUINI(BRGY. ARCON), ISABELA",2,0,0,0,0,0,0,0,0,5.6,0.2,5.8,24.6
876,"ABULUG, CAGAYAN",2,0,0,0,10.8,0.2,0,0,1.6,0,0,12.6,876,"ABULUG, CAGAYAN",2,0,0,0,1.8,1.8,0,0,0,0,0,3.6,876,"ABULUG, CAGAYAN",2,0,0,0,0,0,0,0,0,0,0,0,16.2
357,"POLANCO, ZAMBOANGA DEL NORTE",9,0,0,0.2,0,0,0.6,0.6,0,0,10.6,12,357,"POLANCO, ZAMBOANGA DEL NORTE",9,0,0,5.6,1.8,6.8,26.2,0,18.2,2.2,0.2,61,357,"POLANCO, ZAMBOANGA DEL NORTE",9,0,0,0,0,2.6,0.2,0,0,0,0,2.8,75.8
1143,"MASBATE, MASBATE",5,0,0,0.8,0,0,0,0,0,0,0,0.8,1143,"MASBATE, MASBATE",5,0,0.2,0,3.4,24.6,0,0,1.2,0,9.8,39.2,1143,"MASBATE, MASBATE",5,1.2,0,7,0.6,2,0,0,,,,10.8,50.8
344,"LABO, CAMARINES NORTE",5,0,0,0,0,0,1,0,0,0,0.4,1.4,344,"LABO, CAMARINES NORTE",5,0,1.2,6.8,23.6,0.6,1,0.4,7.8,1.2,11,53.6,344,"LABO, CAMARINES NORTE",5,0,3.4,30,0.6,0.2,0.2,0,0,0,0,34.4,89.4
922,"ROXAS PALAWAN, PALAWAN",4-B,0,0,0,0,0,0,0,0,0,0,0,922,"ROXAS PALAWAN, PALAWAN",4-B,0,0,0,1,45.8,3.6,3,17.2,13.6,0.2,84.4,922,"ROXAS PALAWAN, PALAWAN",4-B,0,0,0,0,0,0,0,2.6,0,0,2.6,87
329,"SAN ANTONIO, QUEZON",4-A,0,0,0,0,0,0,0,0,0,0,0,329,"SAN ANTONIO, QUEZON",4-A,0,0,0,0,0,0,0,0,0,0,0,329,"SAN ANTONIO, QUEZON",4-A,0,0,0,0,0,0,0,0,0,0,0,0
378,"BABATNGON, LEYTE",8,0,0,1.6,2.8,0,0.2,0,2.8,11.6,2.8,21.8,378,"BABATNGON, LEYTE",8,6.6,16.6,34.2,3.6,24.4,2.2,16,8.2,0.4,1,113.2,378,"BABATNGON, LEYTE",8,0,1.8,0.4,0,0,0,3.4,0,0,0,5.6,140.6
354,"NAVAL, BILIRAN",8,0,0.6,0.2,0.2,0,0,0,1,1.2,0.2,3.4,354,"NAVAL, BILIRAN",8,1,7,33.6,26.6,52.2,0,4,0,0,0,124.4,354,"NAVAL, BILIRAN",8,,,,,,,,0,0,0,0,127.8
899,"CAN-AVID, EASTERN SAMAR",8,0,0,1,0,1,0,2.2,0.4,0,3.4,8,899,"CAN-AVID, EASTERN SAMAR",8,25.6,60.4,50.6,161.6,209,13.4,15.2,38.6,0,29.4,603.8,899,"CAN-AVID, EASTERN SAMAR",8,0.2,7.4,8.6,0.4,0,0.2,0,0,0,1.8,18.6,630.4
363,"SULOP, POBLACION, DAVAO DEL SUR",11,0,0,0,0,,,,,,1,1,363,"SULOP, POBLACION, DAVAO DEL SUR",11,19.4,29.6,,6.8,,,,,,,55.8,363,"SULOP, POBLACION, DAVAO DEL SUR",11,0,,4,0,,,,0,0,0,4,60.8
870,"LANAO DEL NORTE, LANAO DEL NORTE",10,0,0,0,0,0,0,0.4,0.8,0,0,1.2,870,"LANAO DEL NORTE, LANAO DEL NORTE",10,0,3,8.4,33,0.4,0.6,0.2,0,0,0,45.6,870,"LANAO DEL NORTE, LANAO DEL NORTE",10,0,0,0,0,0,0,0,0,0,0,0,46.8
898,"SAN MIGUEL, LEYTE",8,,,,,,,,,,,,898,"SAN MIGUEL, LEYTE",8,,,,,,,,,,,,898,"SAN MIGUEL, LEYTE",8,,,,,,,,,,,,
902,"GERONA, TARLAC",3,0,0,0,0,0,0,0,9.8,0,0,9.8,902,"GERONA, TARLAC",3,0,0,0,7.4,0,0,0,0,0,0,7.4,902,"GERONA, TARLAC",3,0,0,0,19,0,0,36.6,0.2,0,14.2,70,87.2
987,"BASILAN, ISABELA CITY",9,0,0,0,3.6,0,0,0,0,0,0,3.6,987,"BASILAN, ISABELA CITY",9,0,0,0,0,0,0,0,0,0,0,0,987,"BASILAN, ISABELA CITY",9,0,0,0,0,0,0,0,0,0,0,0,3.6
376,"PIGCAWAYAN, COTABATO",12,,,,,,,,,,,,376,"PIGCAWAYAN, COTABATO",12,,,,,,,,,,,,376,"PIGCAWAYAN, COTABATO",12,,,,,0,0,0.2,1,0,1.6,2.8,2.8
919,"PATNONGON, ANTIQUE",6,,,,,,,,,0,0,0,919,"PATNONGON, ANTIQUE",6,0,0,0,1,84,0,0,0,0,0,85,919,"PATNONGON, ANTIQUE",6,0,,,,,,,0,0,0,0,85
918,"SAN LUIS, AURORA",3,0,0.4,0.2,1.6,4.6,5.6,22.8,0,0,6.6,41.8,918,"SAN LUIS, AURORA",3,0.4,5.2,0,1.6,0,4.2,6,0,5.4,0.2,23,918,"SAN LUIS, AURORA",3,0,0,1.2,7.8,15.4,0,0,0,7.4,25,56.8,121.6
932,"SULTAN KUDARAT, MAGUINDANAO, MAGUINDANAO",ARMM,0,0,0,6.4,0.2,0,0,0.4,0,0,7,932,"SULTAN KUDARAT, MAGUINDANAO, MAGUINDANAO",ARMM,0,0,1.6,2.8,0.2,0.2,0,0.8,5.8,1.2,12.6,932,"SULTAN KUDARAT, MAGUINDANAO, MAGUINDANAO",ARMM,0,0,0,0.2,0,0,4.4,13,19.2,2.8,39.6,59.2
349,"SIQUIJOR, SIQUIJOR",7,,,,,,,,,,,,349,"SIQUIJOR, SIQUIJOR",7,,,,,,,,,,,,349,"SIQUIJOR, SIQUIJOR",7,,,,,,,,,,,,
356,"KALAWIT, ZAMBOANGA DEL NORTE",9,0,0,0,0,0,0,0,0,0,0,0,356,"KALAWIT, ZAMBOANGA DEL NORTE",9,0,20.8,1,11,4.4,0,0,0,0.8,0,38,356,"KALAWIT, ZAMBOANGA DEL NORTE",9,0,0.4,0.2,0,23.4,0,0,0,8,3.4,35.4,73.4
924,"PANIT-AN, CAPIZ",6,,,,,,,,0,,,0,924,"PANIT-AN, CAPIZ",6,,,,,,,,,,,,924,"PANIT-AN, CAPIZ",6,,,,,,,,,,,,0
872,"KALILANGAN, BUKIDNON",10,0,0,0,0,0,0,0,0,1.8,0,1.8,872,"KALILANGAN, BUKIDNON",10,2,0,0,20.4,10.8,10.8,1.6,24,14.8,7.6,92,872,"KALILANGAN, BUKIDNON",10,0.2,31,14.4,0,0,0,0,63,0.2,38.2,147,240.8
340,"SUAL, PANGASINAN",1,0,0,0,0,0,0,0,0,0,0,0,340,"SUAL, PANGASINAN",1,0,0,0,0,0,0,0,0,0,0,0,340,"SUAL, PANGASINAN",1,0,0,0,0,0,0,0,0,0,0,0,0
