,,,June 2015,,,,,,,,,,,,,,June 2015,,,,,,,,,,,,,,June 2015,,,,,,,,,,,
Station No.,Station Name,Region,1,2,3,4,5,6,7,8,9,10,Decadal,Station No.,Station Name,Region,11,12,13,14,15,16,17,18,19,20,Decadal,Station No.,Station Name,Region,21,22,23,24,25,26,27,28,29,30,Decadal,Total
885,"MAINIT, SURIGAO DEL NORTE",13,,,,,,,,,,,,885,"MAINIT, SURIGAO DEL NORTE","13",,,,,,,,,,,,885,"MAINIT, SURIGAO DEL NORTE","13",,,,,,,,,,,,
881,"KORONADAL, SOUTH COTABATO",12,,,,,,,,,,,,881,"KORONADAL, SOUTH COTABATO","12",,,,,,,,,,,,881,"KORONADAL, SOUTH COTABATO","12",,,,,,,,,,,,
893,"PROSPERIDAD, AGUSAN DEL SUR",13,,,,,,,,,,,,893,"PROSPERIDAD, AGUSAN DEL SUR","13",,,,,,,,,,,,893,"PROSPERIDAD, AGUSAN DEL SUR","13",,,,,,,,,,,,
862,"TABUK, KALINGA",CAR,,,,,,,,,,,,862,"TABUK, KALINGA","CAR",,,,,,,,,,,,862,"TABUK, KALINGA","CAR",,,,,,,,,,,,
295,"NSWRRDC SAN ILDEFONSO, BULACAN",3,10.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,15.6,295,"NSWRRDC SAN ILDEFONSO, BULACAN","3",7.0,13.8,3.6,9.6,4.6,0.0,0.0,0.0,5.8,3.8,48.2,295,"NSWRRDC SAN ILDEFONSO, BULACAN","3",43.6,0.0,,,,,,,,0.0,43.6,107.4
375,"DULAG, LEYTE",8,,,,,,,,,,,,375,"DULAG, LEYTE","8",,,,,,,,,,,,375,"DULAG, LEYTE","8",,,,,,,,,,,,
339,"STA. MARIA - PANGASINAN, PANGASINAN",1,,,,,,,0.0,0.0,0.2,0.0,0.2,339,"STA. MARIA - PANGASINAN, PANGASINAN","1",0.0,0.0,0.0,0.0,0.0,0.4,0.6,0.4,0.4,0.0,1.8,339,"STA. MARIA - PANGASINAN, PANGASINAN","1",3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,4,6
373,"TANAY, RIZAL",4-A,10.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,10.6,373,"TANAY, RIZAL","4-A",,,,,,,,,,,,373,"TANAY, RIZAL","4-A",,,,,,,,,,,,10.6
366,"ISING, DAVAO DEL NORTE",11,,,,,,,,,,,,366,"ISING, DAVAO DEL NORTE","11",,,,,,,,,,,,366,"ISING, DAVAO DEL NORTE","11",,,,,,,,,,,,
368,"KITCHARAO, AGUSAN DEL NORTE",13,0.0,0.0,1.4,0.2,0.0,12.2,0.0,0.0,37.0,0.0,50.8,368,"KITCHARAO, AGUSAN DEL NORTE","13",0.0,0.0,16.0,6.6,30.4,9.0,0.6,5.8,,,68.4,368,"KITCHARAO, AGUSAN DEL NORTE","13",,,,,,,,,,,,119.2
