,,,June 2016,,,,,,,,,,,,,,June 2016,,,,,,,,,,,,,,June 2016,,,,,,,,,,,
Station No.,Station Name,Region,1,2,3,4,5,6,7,8,9,10,Decadal,Station No.,Station Name,Region,11,12,13,14,15,16,17,18,19,20,Decadal,Station No.,Station Name,Region,21,22,23,24,25,26,27,28,29,30,Decadal,Total
885,"MAINIT, SURIGAO DEL NORTE",13,,,,,,,,,,,,885,"MAINIT, SURIGAO DEL NORTE","13",,,,,,,,,,,,885,"MAINIT, SURIGAO DEL NORTE","13",,,,,,,,,,,,
881,"KORONADAL, SOUTH COTABATO",12,,,,,0.0,0.0,0.0,0.2,23.0,0.2,23.4,881,"KORONADAL, SOUTH COTABATO","12",0.0,0.8,0.4,0.0,0.2,1.0,38.8,0.0,0.0,13.6,54.8,881,"KORONADAL, SOUTH COTABATO","12",4.0,16.8,10.4,0.6,1.6,0.0,0.2,0.2,6.6,1.2,41.6,119.8
893,"PROSPERIDAD, AGUSAN DEL SUR",13,18.2,0.0,0.0,0.0,10.6,0.0,0.0,0.2,0.2,3.8,33,893,"PROSPERIDAD, AGUSAN DEL SUR","13",0.0,0.8,0.2,0.0,0.4,0.4,18.2,0.0,7.4,10.8,38.2,893,"PROSPERIDAD, AGUSAN DEL SUR","13",31.8,0.0,0.6,23.0,1.6,0.0,4.0,0.4,5.6,0.0,67,138.2
862,"TABUK, KALINGA",CAR,40.2,0.0,0.0,1.4,36.0,2.6,0.0,4.8,7.2,0.0,92.2,862,"TABUK, KALINGA","CAR",0.0,0.0,0.0,0.6,0.2,0.0,0.0,0.4,0.0,0.0,1.2,862,"TABUK, KALINGA","CAR",0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,93.8
295,"NSWRRDC SAN ILDEFONSO, BULACAN",3,,,,,,,,0.0,0.0,,0,295,"NSWRRDC SAN ILDEFONSO, BULACAN","3",,,0.0,0.0,,,0.8,1.0,0.4,0.4,2.6,295,"NSWRRDC SAN ILDEFONSO, BULACAN","3",,0.0,14.0,0.0,0.4,2.4,33.6,9.6,2.0,0.0,62,64.6
375,"DULAG, LEYTE",8,,,,,,,,0.0,5.4,3.2,8.6,375,"DULAG, LEYTE","8",0.2,0.0,0.0,0.0,1.0,2.0,7.0,0.2,0.0,44.8,55.2,375,"DULAG, LEYTE","8",0.0,0.0,0.2,10.8,0.8,0.0,4.6,0.6,0.2,11.2,28.4,92.2
339,"STA. MARIA - PANGASINAN, PANGASINAN",1,,,,,,,,,,,,339,"STA. MARIA - PANGASINAN, PANGASINAN","1",,,,,,,,,,,,339,"STA. MARIA - PANGASINAN, PANGASINAN","1",,,,,,,,,,,,
373,"TANAY, RIZAL",4-A,1.4,96.8,0.0,0.0,0.0,38.4,3.2,0.0,3.4,0.0,143.2,373,"TANAY, RIZAL","4-A",1.0,2.2,4.4,0.0,12.0,0.0,2.0,21.0,2.0,0.4,45,373,"TANAY, RIZAL","4-A",0.0,6.6,0.6,0.0,4.2,28.4,3.8,0.0,10.4,0.6,54.6,242.8
366,"ISING, DAVAO DEL NORTE",11,0.0,1.0,,0.2,0.0,0.0,6.4,0.2,0.0,8.2,16,366,"ISING, DAVAO DEL NORTE","11",0.0,0.0,0.0,0.0,0.0,4.4,17.8,21.4,,0.0,43.6,366,"ISING, DAVAO DEL NORTE","11",0.0,0.0,0.2,29.0,2.8,0.0,3.4,0.0,4.6,0.0,40,99.6
