,,,December 2016,,,,,,,,,,,,,,December 2016,,,,,,,,,,,,,,December 2016,,,,,,,,,,,,
Station No.,Station Name,Region,1,2,3,4,5,6,7,8,9,10,Decadal,Station No.,Station Name,Region,11,12,13,14,15,16,17,18,19,20,Decadal,Station No.,Station Name,Region,21,22,23,24,25,26,27,28,29,30,31,Decadal,Total
885,"MAINIT, SURIGAO DEL NORTE",13,0.0,0.0,,0.2,,,,4.0,0.0,0.0,4.2,885,"MAINIT, SURIGAO DEL NORTE","13",0.0,,,,,,,,,,0,885,"MAINIT, SURIGAO DEL NORTE","13",,,,,,,,,,,,,4.2
881,"KORONADAL, SOUTH COTABATO",12,13.0,0.2,14.0,3.4,0.0,0.0,0.2,0.8,0.0,0.0,31.6,881,"KORONADAL, SOUTH COTABATO","12",0.0,38.0,6.4,0.0,15.2,0.8,0.0,0.4,0.0,0.0,60.8,881,"KORONADAL, SOUTH COTABATO","12",0.0,0.0,0.0,0.0,9.8,0.2,15.8,0.0,0.0,0.8,0.6,27.2,119.6
893,"PROSPERIDAD, AGUSAN DEL SUR",13,3.2,56.6,50.8,2.0,0.0,6.0,8.6,1.6,4.0,0.0,132.8,893,"PROSPERIDAD, AGUSAN DEL SUR","13",13.0,3.6,3.2,20.2,3.6,13.4,9.8,24.6,0.6,2.2,94.2,893,"PROSPERIDAD, AGUSAN DEL SUR","13",24.6,13.8,0.2,0.0,0.6,0.0,0.0,0.0,0.0,15.6,36.0,90.8,317.8
862,"TABUK, KALINGA",CAR,,,,,,,,0.0,,,0,862,"TABUK, KALINGA","CAR",,0.0,2.0,0.0,0.0,3.0,0.0,10.8,0.0,,15.8,862,"TABUK, KALINGA","CAR",,2.2,0.2,15.4,0.0,0.0,0.0,0.0,,0.0,0.0,17.8,33.6
295,"NSWRRDC SAN ILDEFONSO, BULACAN",3,0.0,2.8,0.0,1.6,1.6,0.0,4.4,0.0,0.0,0.0,10.4,295,"NSWRRDC SAN ILDEFONSO, BULACAN","3",0.0,1.4,1.8,2.8,0.4,1.8,0.4,0.4,0.0,0.0,9,295,"NSWRRDC SAN ILDEFONSO, BULACAN","3",0.0,0.0,0.0,0.0,4.8,20.8,0.0,0.0,0.8,0.2,0.2,26.8,46.2
375,"DULAG, LEYTE",8,,,0.0,1.6,0.0,15.0,16.0,0.0,0.0,0.0,32.6,375,"DULAG, LEYTE","8",0.0,3.2,0.6,0.0,0.8,67.8,6.0,42.4,13.2,5.2,139.2,375,"DULAG, LEYTE","8",0.0,19.2,21.4,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,66.6,238.4
339,"STA. MARIA - PANGASINAN, PANGASINAN",1,0.0,0.0,0.0,0.0,0.0,6.4,0.0,0.0,0.0,0.0,6.4,339,"STA. MARIA - PANGASINAN, PANGASINAN","1",0.0,0.0,8.0,,,,,,,,8,339,"STA. MARIA - PANGASINAN, PANGASINAN","1",0.0,,,,,,,,,,,0,14.4
373,"TANAY, RIZAL",4-A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.6,4.4,22,373,"TANAY, RIZAL","4-A",,,,,,,,,,,,373,"TANAY, RIZAL","4-A",,,0.0,0.0,11.2,25.6,0.0,0.0,0.4,5.8,19.8,62.8,84.8
366,"ISING, DAVAO DEL NORTE",11,8.0,0.0,7.4,7.8,0.0,1.8,0.0,12.6,0.0,2.8,40.4,366,"ISING, DAVAO DEL NORTE","11",0.0,26.4,0.6,2.8,0.8,0.2,6.6,0.0,0.0,0.0,37.4,366,"ISING, DAVAO DEL NORTE","11",0.2,5.8,2.6,8.6,7.8,0.0,3.2,0.2,0.0,9.2,22.0,59.6,137.4
