,,,September 2016,,,,,,,,,,,,,,September 2016,,,,,,,,,,,,,,September 2016,,,,,,,,,,,
902,"GERONA, TARLAC",3,0.0,26.6,0.0,2.4,8.4,0.2,0.0,0.0,27.4,0.0,65,902,"GERONA, TARLAC","3",0.0,25.0,0.2,7.0,12.4,0.0,13.0,18.2,36.8,0.0,112.6,902,"GERONA, TARLAC","3",0.0,0.6,2.8,8.4,0.0,5.4,0.0,0.2,0.0,0.0,17.4,195
987,"BASILAN, ISABELA CITY",9,,,,,,,,,,,,987,"BASILAN, ISABELA CITY","9",,,,,,,,,,,,987,"BASILAN, ISABELA CITY","9",,,,,,,,,,,,
376,"PIGCAWAYAN, COTABATO",12,0.0,0.0,0.0,0.0,0.0,3.0,4.6,0.0,11.6,25.0,44.2,376,"PIGCAWAYAN, COTABATO","12",0.0,0.4,0.2,0.0,4.2,0.0,0.0,0.2,1.4,0.4,6.8,376,"PIGCAWAYAN, COTABATO","12",0.0,31.0,2.6,0.0,2.6,0.0,21.2,16.2,1.4,0.6,75.6,126.6
919,"PATNONGON, ANTIQUE",6,0.0,0.0,3.8,13.2,0.0,0.0,6.2,16.2,,,39.4,919,"PATNONGON, ANTIQUE","6",,,40.6,0.0,,,1.4,0.0,1.0,0.8,43.8,919,"PATNONGON, ANTIQUE","6",0.2,0.8,1.0,2.6,1.2,2.4,4.4,1.4,0.0,0.4,14.4,97.6
918,"SAN LUIS, AURORA",3,0.0,0.0,0.0,0.0,0.0,0.0,14.8,0.0,8.0,6.4,29.2,918,"SAN LUIS, AURORA","3",1.2,0.0,0.0,0.0,0.0,8.8,1.0,0.0,0.4,12.2,23.6,918,"SAN LUIS, AURORA","3",21.6,5.5,2.2,0.2,5.8,0.2,0.0,0.0,0.6,0.0,36.1,88.9
932,"SULTAN KUDARAT, MAGUINDANAO, MAGUINDANAO",ARMM,,0.0,5.9,31.8,0.2,13.2,3.8,0.0,8.8,9.0,72.7,932,"SULTAN KUDARAT, MAGUINDANAO, MAGUINDANAO","ARMM",0.0,6.0,0.0,0.0,0.2,0.0,0.0,0.2,10.6,11.8,28.8,932,"SULTAN KUDARAT, MAGUINDANAO, MAGUINDANAO","ARMM",5.9,4.0,0.0,0.0,5.9,,0.0,22.2,6.5,0.0,44.5,146
349,"SIQUIJOR, SIQUIJOR",7,,,,,,,,,,,,349,"SIQUIJOR, SIQUIJOR","7",,,,,,,,,,,,349,"SIQUIJOR, SIQUIJOR","7",,,,,,,,,,,,
356,"KALAWIT, ZAMBOANGA DEL NORTE",9,31.8,2.0,8.2,3.6,2.6,14.2,23.8,3.2,0.0,44.4,133.8,356,"KALAWIT, ZAMBOANGA DEL NORTE","9",0.0,0.0,65.8,0.2,0.0,0.0,6.0,0.6,0.0,0.4,73,356,"KALAWIT, ZAMBOANGA DEL NORTE","9",11.4,5.8,11.6,4.4,2.2,3.6,24.2,0.0,0.0,17.0,80.2,287
924,"PANIT-AN, CAPIZ",6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,924,"PANIT-AN, CAPIZ","6",3.4,0.0,0.0,1.8,0.0,0.0,0.0,0.0,46.2,0.2,51.6,924,"PANIT-AN, CAPIZ","6",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,51.8
872,"KALILANGAN, BUKIDNON",10,,,,,,,,,,,,872,"KALILANGAN, BUKIDNON","10",,,,,,,,,,0.4,0.4,872,"KALILANGAN, BUKIDNON","10",1.6,14.8,10.8,,,,,,1.0,3.0,31.2,31.6
340,"SUAL, PANGASINAN",1,35.6,0.0,35.4,69.8,15.4,0.0,0.0,54.0,0.0,0.0,210.2,340,"SUAL, PANGASINAN","1",0.0,10.6,49.4,17.4,0.0,0.0,5.8,0.0,0.0,32.4,115.6,340,"SUAL, PANGASINAN","1",2.6,0.6,0.6,0.0,3.2,0.0,6.0,0.0,8.0,1.6,22.6,348.4
359,"IPIL, ZAMBOANGA SIBUGAY",9,,,,,,,,,,,,359,"IPIL, ZAMBOANGA SIBUGAY","9",,,,,,,,,,,,359,"IPIL, ZAMBOANGA SIBUGAY","9",,,,,,,,,,,,
896,"BARILI, CEBU",7,0.0,0.0,0.0,2.8,9.0,0.0,28.0,5.6,4.6,7.8,57.8,896,"BARILI, CEBU","7",6.2,0.6,0.0,0.0,0.0,0.0,0.0,0.6,0.2,0.0,7.6,896,"BARILI, CEBU","7",0.2,0.0,0.4,1.0,72.6,0.6,8.2,2.4,2.2,0.0,87.6,153
878,"SEN. NINOY AQUINO, SULTAN KUDARAT",12,10.4,11.0,12.4,0.6,5.8,1.0,0.0,0.0,0.0,4.6,45.8,878,"SEN. NINOY AQUINO, SULTAN KUDARAT","12",0.2,0.0,10.3,0.0,0.8,0.0,0.0,0.4,0.0,23.2,34.9,878,"SEN. NINOY AQUINO, SULTAN KUDARAT","12",1.2,18.2,13.8,13.6,0.6,0.0,0.0,6.6,0.2,0.0,54.2,134.9
1079,"PINAMALAYAN, ORIENTAL MINDORO",4-B,0.0,0.0,0.0,0.0,1.0,0.0,6.4,36.2,31.4,0.0,75,1079,"PINAMALAYAN, ORIENTAL MINDORO","4-B",0.0,13.8,0.0,0.0,4.6,0.0,0.0,2.8,0.0,2.2,23.4,1079,"PINAMALAYAN, ORIENTAL MINDORO","4-B",10.2,24.4,5.2,0.0,3.2,0.0,4.8,24.2,16.6,2.8,91.4,189.8
1141,"STA. BARBARA - ILOILO, ILOILO",6,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.3,5.5,2.7,9.1,1141,"STA. BARBARA - ILOILO, ILOILO","6",0.0,0.1,0.0,0.0,0.0,1.0,0.0,2.6,0.1,0.0,3.8,1141,"STA. BARBARA - ILOILO, ILOILO","6",0.0,0.3,0.1,0.4,1.2,5.4,1.4,2.1,1.5,0.1,12.5,25.4
903,"BOTOLAN, ZAMBALES",3,0.6,2.0,0.6,45.4,30.6,0.0,0.0,55.0,2.0,20.4,156.6,903,"BOTOLAN, ZAMBALES","3",0.0,24.2,44.2,9.0,7.6,0.6,36.2,0.0,6.8,2.4,131,903,"BOTOLAN, ZAMBALES","3",0.0,2.6,3.8,0.0,5.0,0.6,31.4,13.8,0.2,0.0,57.4,345
927,"BAGO CITY, NEGROS OCCIDENTAL",6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,927,"BAGO CITY, NEGROS OCCIDENTAL","6",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,927,"BAGO CITY, NEGROS OCCIDENTAL","6",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
316,"STO TOMAS, DAVAO DEL NORTE",11,,,,,,,,,,,,316,"STO TOMAS, DAVAO DEL NORTE","11",,,,,,,,,,,,316,"STO TOMAS, DAVAO DEL NORTE","11",,,,,,,,,,,,
879,"TACURONG CITY, SULTAN KUDARAT",12,38.6,35.6,0.0,16.3,0.6,11.3,1.4,0.0,0.0,19.2,123,879,"TACURONG CITY, SULTAN KUDARAT","12",0.0,0.0,6.4,0.0,12.8,0.6,0.0,1.2,0.0,0.0,21,879,"TACURONG CITY, SULTAN KUDARAT","12",19.0,1.4,1.4,5.0,0.0,0.0,13.8,14.4,1.2,3.6,59.8,203.8
866,"GUINSILIBAN, CAMIGUIN",10,0.0,0.0,30.0,0.0,0.0,9.2,42.8,15.6,22.4,23.8,143.8,866,"GUINSILIBAN, CAMIGUIN","10",2.8,32.0,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.2,866,"GUINSILIBAN, CAMIGUIN","10",0.0,2.6,3.8,35.6,0.0,0.0,2.0,17.0,0.0,0.0,61,243
372,"ROXAS, ISABELA",2,0.2,0.0,0.0,0.0,1.4,0.0,56.8,0.8,0.0,0.0,59.2,372,"ROXAS, ISABELA","2",0.0,1.2,2.4,0.2,0.0,16.4,0.0,37.2,39.2,0.0,96.6,372,"ROXAS, ISABELA","2",2.6,0.0,0.0,0.0,0.2,7.8,0.2,0.0,0.6,0.6,12,167.8
890,"ESPERANZA, AGUSAN DEL SUR",13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,890,"ESPERANZA, AGUSAN DEL SUR","13",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,890,"ESPERANZA, AGUSAN DEL SUR","13",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
327,"STA. CRUZ - LAGUNA, LAGUNA",4-A,0.0,0.0,0.0,8.0,1.2,0.0,0.0,0.0,6.4,7.2,22.8,327,"STA. CRUZ - LAGUNA, LAGUNA","4-A",0.0,0.0,0.0,14.8,0.2,1.0,0.0,0.0,12.6,2.6,31.2,327,"STA. CRUZ - LAGUNA, LAGUNA","4-A",1.6,0.0,0.0,0.0,2.8,0.0,4.6,1.0,17.2,0.6,27.8,81.8
917,"CALINOG, ILOILO",6,11.4,4.9,13.4,2.6,,,,,0.6,,32.9,917,"CALINOG, ILOILO","6",,,,,,,,,,,,917,"CALINOG, ILOILO","6",,,,,,,,,,,,32.9
1128,"ALCANTARA, ROMBLON",4-B,0.0,3.4,0.0,0.0,0.0,0.0,3.8,2.8,14.6,7.6,32.2,1128,"ALCANTARA, ROMBLON","4-B",,0.0,0.0,0.0,1.8,0.0,3.0,0.0,1.2,0.0,6,1128,"ALCANTARA, ROMBLON","4-B",0.0,0.0,3.2,3.8,9.8,15.4,0.0,,,0.0,32.2,70.4
503,"AGLIPAY, QUIRINO",2,0.0,0.0,0.0,0.0,0.0,1.6,8.2,0.2,0.0,0.0,10,503,"AGLIPAY, QUIRINO","2",0.0,0.2,0.0,0.0,0.2,1.2,0.0,0.0,0.2,0.6,2.4,503,"AGLIPAY, QUIRINO","2",12.9,0.0,0.0,1.8,1.2,6.8,0.0,,,,22.7,35.1
1324,"VILLAREAL, SAMAR",8,0.0,0.0,0.0,0.0,15.2,0.2,5.4,7.4,19.0,14.8,62,1324,"VILLAREAL, SAMAR","8",3.0,31.8,0.0,,,,,,,,34.8,1324,"VILLAREAL, SAMAR","8",0.0,52.0,7.8,0.4,1.0,7.8,5.6,15.8,0.0,6.8,97.2,194
379,"SAN JOSE - CAMARINES SUR, CAMARINES SUR",5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.4,7.4,379,"SAN JOSE - CAMARINES SUR, CAMARINES SUR","5",0.0,1.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,4.4,5.8,379,"SAN JOSE - CAMARINES SUR, CAMARINES SUR","5",0.0,0.6,11.2,12.8,10.8,0.0,7.8,19.8,5.0,2.8,70.8,84
626,"KIAMBA, SARANGANI",12,,,,,,,,0.0,0.2,81.0,81.2,626,"KIAMBA, SARANGANI","12",0.0,50.8,3.2,0.0,0.4,0.0,0.0,0.2,65.6,0.2,120.4,626,"KIAMBA, SARANGANI","12",0.0,0.0,6.0,47.8,3.8,9.8,33.8,5.2,3.2,2.2,111.8,313.4
374,"POBLACION LILOY, ZAMBOANGA DEL NORTE",9,5.0,8.8,36.4,0.0,28.2,37.6,12.4,0.0,22.2,0.0,150.6,374,"POBLACION LILOY, ZAMBOANGA DEL NORTE","9",0.0,6.0,4.0,0.0,59.8,10.8,38.0,23.2,16.8,3.6,162.2,374,"POBLACION LILOY, ZAMBOANGA DEL NORTE","9",1.4,0.2,64.0,5.0,0.0,20.6,50.8,7.0,0.0,0.0,149,461.8
351,"CARMEN, BOHOL",7,,,,,,,,,,,,351,"CARMEN, BOHOL","7",,,,,,,,,,,,351,"CARMEN, BOHOL","7",,,,,,,,,,,,
967,"STA. CRUZ - MARINDUQUE, MARINDUQUE",4-B,0.0,0.0,0.0,0.0,2.8,0.0,37.2,0.6,15.2,8.4,64.2,967,"STA. CRUZ - MARINDUQUE, MARINDUQUE","4-B",0.0,0.6,0.0,0.0,0.6,1.4,2.8,0.0,0.0,10.4,15.8,967,"STA. CRUZ - MARINDUQUE, MARINDUQUE","4-B",0.0,0.0,0.0,1.6,0.8,0.2,0.0,0.6,16.8,0.4,20.4,100.4
328,"AYUTI, QUEZON",4-A,0.0,0.0,0.0,0.0,30.4,25.2,0.0,0.0,53.4,18.6,127.6,328,"AYUTI, QUEZON","4-A",3.4,3.8,1.4,0.0,0.0,0.2,6.8,0.0,8.6,0.0,24.2,328,"AYUTI, QUEZON","4-A",2.2,14.4,1.4,0.2,6.0,0.0,1.4,1.6,4.0,0.0,31.2,183
865,"ILAGAN, ISABELA",2,,,,,,,,,,,,865,"ILAGAN, ISABELA","2",,,,,,,,,,,,865,"ILAGAN, ISABELA","2",,,,,,,,,,0.0,0,0
934,"KAPATAGAN, LANAO DEL SUR",ARMM,,,,,,,,,,,,934,"KAPATAGAN, LANAO DEL SUR","ARMM",,,,,,,,,,,,934,"KAPATAGAN, LANAO DEL SUR","ARMM",,,,,,,,,,,,
370,"SAN FRANCISCO, SURIGAO DEL NORTE",13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,370,"SAN FRANCISCO, SURIGAO DEL NORTE","13",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,370,"SAN FRANCISCO, SURIGAO DEL NORTE","13",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
358,"DUMINGAG, ZAMBOANGA DEL SUR",9,6.2,0.0,0.2,43.8,0.2,19.0,5.4,5.8,2.8,48.4,131.8,358,"DUMINGAG, ZAMBOANGA DEL SUR","9",0.0,2.4,39.2,0.2,0.0,12.0,34.2,0.0,0.2,6.6,94.8,358,"DUMINGAG, ZAMBOANGA DEL SUR","9",3.6,41.0,8.4,2.6,14.6,2.2,26.2,5.3,1.6,8.6,114.1,340.7
338,"STA. BARBARA - PANGASINAN, PANGASINAN",1,1.4,0.2,1.4,6.0,4.2,6.2,0.2,5.2,0.0,0.0,24.8,338,"STA. BARBARA - PANGASINAN, PANGASINAN","1",0.0,4.0,19.2,13.0,0.0,4.2,11.4,0.0,19.0,19.8,90.6,338,"STA. BARBARA - PANGASINAN, PANGASINAN","1",1.6,2.4,0.0,0.0,8.0,0.0,6.8,1.0,0.0,0.0,19.8,135.2
353,"MALITBOG, SOUTHERN LEYTE",8,,,,,,,,,,,,353,"MALITBOG, SOUTHERN LEYTE","8",,,,,,,,,,,,353,"MALITBOG, SOUTHERN LEYTE","8",,,,,,,,,,,,
333,"BUCAY, ABRA",CAR,0.2,0.0,18.8,6.0,4.4,0.0,1.2,12.6,0.2,0.0,43.4,333,"BUCAY, ABRA","CAR",0.0,18.8,21.4,21.0,9.2,0.0,5.0,0.0,0.2,2.8,78.4,333,"BUCAY, ABRA","CAR",3.6,16.8,11.0,1.4,0.0,6.0,0.0,0.0,0.0,0.2,39,160.8
