,,,October 2016,,,,,,,,,,,,,,October 2016,,,,,,,,,,,,,,October 2016,,,,,,,,,,,,
340,"SUAL, PANGASINAN",1,7.2,6.8,5.4,4.4,10.6,17.2,20.0,33.6,5.6,3.2,114,340,"SUAL, PANGASINAN","1",0.4,46.2,0.0,0.0,26.8,33.6,0.2,0.0,51.8,10.2,169.2,340,"SUAL, PANGASINAN","1",2.0,1.6,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8,287
359,"IPIL, ZAMBOANGA SIBUGAY",9,,,,,,,,,,,,359,"IPIL, ZAMBOANGA SIBUGAY","9",,,,,,,,,,,,359,"IPIL, ZAMBOANGA SIBUGAY","9",,,,,,,,,,,,,
896,"BARILI, CEBU",7,0.0,0.0,0.0,4.0,0.2,6.2,0.6,0.4,0.0,37.0,48.4,896,"BARILI, CEBU","7",2.8,0.2,2.8,30.4,0.4,0.2,0.0,0.0,0.0,2.8,39.6,896,"BARILI, CEBU","7",0.6,0.4,0.0,11.2,1.6,1.0,1.0,2.0,14.6,4.0,42.0,78.4,166.4
878,"SEN. NINOY AQUINO, SULTAN KUDARAT",12,0.0,0.0,23.6,12.8,2.8,0.0,25.0,5.2,46.8,2.4,118.6,878,"SEN. NINOY AQUINO, SULTAN KUDARAT","12",2.8,1.4,0.0,0.2,0.0,0.0,0.0,2.6,4.6,0.0,11.6,878,"SEN. NINOY AQUINO, SULTAN KUDARAT","12",26.0,6.6,0.0,1.6,4.0,21.2,4.0,29.4,0.0,1.6,3.4,97.8,228
1079,"PINAMALAYAN, ORIENTAL MINDORO",4-B,0.6,0.0,48.0,2.0,5.8,2.0,0.0,1.0,0.4,16.8,76.6,1079,"PINAMALAYAN, ORIENTAL MINDORO","4-B",0.2,22.0,3.4,0.6,1.6,5.0,0.0,0.0,9.6,0.8,43.2,1079,"PINAMALAYAN, ORIENTAL MINDORO","4-B",0.0,0.0,3.0,0.0,0.0,3.4,30.2,21.2,0.0,0.2,15.2,73.2,193
1141,"STA. BARBARA - ILOILO, ILOILO",6,0.0,0.0,0.0,0.3,1.3,0.6,0.0,0.0,0.0,1.1,3.3,1141,"STA. BARBARA - ILOILO, ILOILO","6",1.8,0.5,1.0,0.2,0.0,0.1,0.0,0.0,0.5,1.1,5.2,1141,"STA. BARBARA - ILOILO, ILOILO","6",0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.3,2.4,0.0,1.8,4.6,13.1
903,"BOTOLAN, ZAMBALES",3,0.0,0.0,0.0,40.0,0.0,29.0,1.0,32.2,0.0,7.2,109.4,903,"BOTOLAN, ZAMBALES","3",0.4,1.4,0.0,0.0,19.4,41.2,1.0,0.0,5.6,23.0,92,903,"BOTOLAN, ZAMBALES","3",4.0,0.2,0.2,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,206.4
927,"BAGO CITY, NEGROS OCCIDENTAL",6,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,6,927,"BAGO CITY, NEGROS OCCIDENTAL","6",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,927,"BAGO CITY, NEGROS OCCIDENTAL","6",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,6
316,"STO TOMAS, DAVAO DEL NORTE",11,,,,,,,,,,,,316,"STO TOMAS, DAVAO DEL NORTE","11",,,,,,,,,,,,316,"STO TOMAS, DAVAO DEL NORTE","11",,,,,,,,,,,,,
879,"TACURONG CITY, SULTAN KUDARAT",12,0.2,6.6,8.8,1.4,7.8,1.6,5.2,103.4,25.8,0.0,160.8,879,"TACURONG CITY, SULTAN KUDARAT","12",6.0,7.6,0.0,0.0,1.2,0.0,13.0,18.2,13.0,3.8,62.8,879,"TACURONG CITY, SULTAN KUDARAT","12",1.2,16.6,0.0,2.6,1.0,14.8,5.4,30.6,1.8,9.2,48.2,131.4,355
866,"GUINSILIBAN, CAMIGUIN",10,0.0,0.0,0.2,69.6,27.8,0.0,8.4,0.0,0.0,0.0,106,866,"GUINSILIBAN, CAMIGUIN","10",0.0,0.0,0.0,0.0,0.0,0.0,50.8,77.6,0.0,0.0,128.4,866,"GUINSILIBAN, CAMIGUIN","10",0.0,0.2,0.0,5.8,0.2,5.8,2.2,0.8,5.2,10.4,29.8,60.4,294.8
372,"ROXAS, ISABELA",2,0.0,3.6,0.4,1.2,0.2,0.0,0.2,0.4,3.4,68.0,77.4,372,"ROXAS, ISABELA","2",0.2,0.0,0.0,17.4,49.8,26.6,0.0,0.0,133.4,0.0,227.4,372,"ROXAS, ISABELA","2",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.6,9.2,1.8,19.6,324.4
890,"ESPERANZA, AGUSAN DEL SUR",13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,890,"ESPERANZA, AGUSAN DEL SUR","13",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,890,"ESPERANZA, AGUSAN DEL SUR","13",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
327,"STA. CRUZ - LAGUNA, LAGUNA",4-A,0.2,0.0,18.4,3.4,0.8,57.0,4.6,0.0,11.0,0.6,96,327,"STA. CRUZ - LAGUNA, LAGUNA","4-A",12.8,8.4,12.8,0.0,45.2,0.6,25.6,12.4,0.0,0.0,117.8,327,"STA. CRUZ - LAGUNA, LAGUNA","4-A",0.0,0.0,0.0,0.0,3.8,6.4,8.6,41.2,1.4,2.2,47.2,110.8,324.6
917,"CALINOG, ILOILO",6,,,,,,,,,,,,917,"CALINOG, ILOILO","6",,,,3.6,2.6,2.2,,,,,8.4,917,"CALINOG, ILOILO","6",,,,,,,,,,,,,8.4
1128,"ALCANTARA, ROMBLON",4-B,0.0,0.0,,32.4,12.2,,,0.0,3.6,0.0,48.2,1128,"ALCANTARA, ROMBLON","4-B",,,12.0,0.0,0.0,,0.2,0.0,3.8,,16,1128,"ALCANTARA, ROMBLON","4-B",0.0,5.6,4.6,0.0,,0.0,13.6,0.0,,0.0,12.6,36.4,100.6
503,"AGLIPAY, QUIRINO",2,0.0,,0.2,,,0.0,1.4,,,,1.6,503,"AGLIPAY, QUIRINO","2",0.0,,,,,35.0,,,1.0,,36,503,"AGLIPAY, QUIRINO","2",,,,,,0.0,0.0,0.2,11.8,4.8,1.8,18.6,56.2
1324,"VILLAREAL, SAMAR",8,48.8,0.0,40.8,7.8,5.0,1.8,0.0,0.0,0.0,0.0,104.2,1324,"VILLAREAL, SAMAR","8",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1324,"VILLAREAL, SAMAR","8",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,104.2
379,"SAN JOSE - CAMARINES SUR, CAMARINES SUR",5,0.2,0.0,0.8,6.6,16.2,11.2,26.2,0.0,11.8,1.4,74.4,379,"SAN JOSE - CAMARINES SUR, CAMARINES SUR","5",17.4,5.6,14.4,112.4,82.0,2.0,0.2,0.4,2.6,1.2,238.2,379,"SAN JOSE - CAMARINES SUR, CAMARINES SUR","5",4.6,0.0,0.0,0.0,3.8,24.8,24.8,18.4,2.4,0.8,43.6,123.2,435.8
626,"KIAMBA, SARANGANI",12,0.6,1.0,0.0,0.0,18.2,0.0,0.4,2.6,3.2,32.8,58.8,626,"KIAMBA, SARANGANI","12",0.4,0.0,0.0,0.0,1.0,1.8,0.0,0.6,11.0,1.6,16.4,626,"KIAMBA, SARANGANI","12",44.0,4.4,2.8,10.8,12.5,4.4,24.4,0.0,,,,103.3,178.5
374,"POBLACION LILOY, ZAMBOANGA DEL NORTE",9,11.2,14.6,34.8,23.8,9.4,0.0,0.0,29.4,0.0,0.0,123.2,374,"POBLACION LILOY, ZAMBOANGA DEL NORTE","9",32.6,0.2,0.8,15.2,4.2,0.4,1.6,0.0,48.6,1.6,105.2,374,"POBLACION LILOY, ZAMBOANGA DEL NORTE","9",4.6,37.6,1.0,0.6,0.0,15.2,0.8,7.8,25.4,0.0,0.0,93,321.4
351,"CARMEN, BOHOL",7,,,,,,,,,,,,351,"CARMEN, BOHOL","7",,,,,,,,,,,,351,"CARMEN, BOHOL","7",,,,,,,,,,,,,
967,"STA. CRUZ - MARINDUQUE, MARINDUQUE",4-B,0.0,0.0,0.0,26.4,13.4,2.6,0.0,0.2,6.8,0.6,50,967,"STA. CRUZ - MARINDUQUE, MARINDUQUE","4-B",3.0,3.8,0.2,5.6,1.0,0.6,0.0,0.0,0.0,0.0,14.2,967,"STA. CRUZ - MARINDUQUE, MARINDUQUE","4-B",0.0,0.0,0.0,0.0,0.0,17.0,11.4,0.6,0.0,0.0,1.6,30.6,94.8
328,"AYUTI, QUEZON",4-A,0.2,0.0,1.8,7.2,18.8,83.6,25.4,6.2,52.6,46.0,241.8,328,"AYUTI, QUEZON","4-A",5.6,0.2,40.2,2.6,67.2,37.8,7.8,22.0,0.0,13.2,196.6,328,"AYUTI, QUEZON","4-A",1.8,1.2,0.0,0.6,45.2,16.0,17.8,85.2,18.6,23.2,73.4,283,721.4
865,"ILAGAN, ISABELA",2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,865,"ILAGAN, ISABELA","2",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,865,"ILAGAN, ISABELA","2",0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,1.6,0.4,1.4,4.6,4.6
934,"KAPATAGAN, LANAO DEL SUR",ARMM,,,,,,,,,,,,934,"KAPATAGAN, LANAO DEL SUR","ARMM",,,,,,,,,,,,934,"KAPATAGAN, LANAO DEL SUR","ARMM",,,,,,,,,,,,,
370,"SAN FRANCISCO, SURIGAO DEL NORTE",13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,370,"SAN FRANCISCO, SURIGAO DEL NORTE","13",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,370,"SAN FRANCISCO, SURIGAO DEL NORTE","13",0.0,0.0,0.0,0.0,0.0,,,,0.0,,0.0,0,0
