,,,September 2017,,,,,,,,,,,,,,September 2017,,,,,,,,,,,,,,September 2017,,,,,,,,,,,
Station No.,Station Name,Region,1,2,3,4,5,6,7,8,9,10,Decadal,Station No.,Station Name,Region,11,12,13,14,15,16,17,18,19,20,Decadal,Station No.,Station Name,Region,21,22,23,24,25,26,27,28,29,30,Decadal,Total
885,"MAINIT, SURIGAO DEL NORTE",13,0.0,0.0,0.0,0.4,0.0,0.0,0.0,12.8,0.0,0.0,13.2,885,"MAINIT, SURIGAO DEL NORTE","13",1.2,0.0,1.2,12.8,0.4,0.0,0.0,2.8,8.4,13.8,40.6,885,"MAINIT, SURIGAO DEL NORTE","13",0.4,50.6,0.0,3.0,1.4,2.4,0.0,0.0,0.0,1.2,59,112.8
881,"KORONADAL, SOUTH COTABATO",12,0.0,1.0,39.4,9.6,0.0,4.2,20.4,0.8,1.6,0.6,77.6,881,"KORONADAL, SOUTH COTABATO","12",12.2,0.6,31.4,6.0,23.2,0.2,5.8,10.6,5.6,32.4,128,881,"KORONADAL, SOUTH COTABATO","12",0.0,7.8,0.2,5.6,0.4,1.0,0.0,9.0,1.0,0.0,25,230.6
893,"PROSPERIDAD, AGUSAN DEL SUR",13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,893,"PROSPERIDAD, AGUSAN DEL SUR","13",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,893,"PROSPERIDAD, AGUSAN DEL SUR","13",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
862,"TABUK, KALINGA",CAR,0.0,0.0,0.0,9.8,5.4,0.0,1.8,0.0,0.0,0.0,17,862,"TABUK, KALINGA","CAR",0.0,0.2,0.0,0.4,9.2,0.0,9.4,20.4,43.4,0.0,83,862,"TABUK, KALINGA","CAR",0.0,0.0,0.0,0.0,5.0,3.0,0.0,0.0,0.0,0.0,8,108
295,"NSWRRDC SAN ILDEFONSO, BULACAN",3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,295,"NSWRRDC SAN ILDEFONSO, BULACAN","3",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,295,"NSWRRDC SAN ILDEFONSO, BULACAN","3",,,,,,,,,,,,0
375,"DULAG, LEYTE",8,0.0,0.4,0.0,8.8,35.0,0.2,1.4,0.0,3.4,9.8,59,375,"DULAG, LEYTE","8",6.4,0.0,18.8,0.0,24.0,0.0,0.0,1.8,3.4,0.0,54.4,375,"DULAG, LEYTE","8",4.4,20.0,0.0,36.6,4.2,0.0,0.6,0.2,4.6,0.0,70.6,184
339,"STA. MARIA - PANGASINAN, PANGASINAN",1,6.6,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,6.6,339,"STA. MARIA - PANGASINAN, PANGASINAN","1",,,1.6,0.0,0.0,0.0,6.0,1.8,0.8,0.0,10.2,339,"STA. MARIA - PANGASINAN, PANGASINAN","1",4.4,0.0,0.0,0.0,2.4,2.0,0.0,4.2,,0.0,13,29.8
373,"TANAY, RIZAL",4-A,4.6,0.6,0.0,0.0,,0.0,0.0,0.0,0.0,2.0,7.2,373,"TANAY, RIZAL","4-A",1.2,,,1.0,0.0,0.4,12.4,0.4,2.8,6.6,24.8,373,"TANAY, RIZAL","4-A",0.2,4.2,,0.0,1.0,3.4,1.6,0.0,,0.8,11.2,43.2
366,"ISING, DAVAO DEL NORTE",11,6.2,0.0,0.0,0.0,0.0,22.2,0.0,0.0,0.0,3.2,31.6,366,"ISING, DAVAO DEL NORTE","11",50.6,10.4,0.0,3.0,0.0,13.2,1.0,1.8,1.8,3.8,85.6,366,"ISING, DAVAO DEL NORTE","11",0.0,9.4,0.8,9.4,0.4,0.0,0.2,0.0,23.8,0.0,44,161.2
368,"KITCHARAO, AGUSAN DEL NORTE",13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,368,"KITCHARAO, AGUSAN DEL NORTE","13",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,368,"KITCHARAO, AGUSAN DEL NORTE","13",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
875,"LASAM, CAGAYAN",2,,,,,,,,,,,,875,"LASAM, CAGAYAN","2",,,,,,,,,,,,875,"LASAM, CAGAYAN","2",,,,,,,,,,,,
869,"MALAYBALAY, BUKIDNON",10,0.0,0.0,0.2,1.6,1.8,3.8,9.4,12.6,5.0,5.6,40,869,"MALAYBALAY, BUKIDNON","10",5.6,0.0,0.0,4.8,1.8,0.2,24.6,6.8,25.2,1.6,70.6,869,"MALAYBALAY, BUKIDNON","10",5.2,9.6,0.0,0.4,0.2,2.2,2.4,0.0,187.2,1.0,208.2,318.8
361,"VITALI DISTRICT, ZAMBOANGA CITY",9,,,,,,,,,,,,361,"VITALI DISTRICT, ZAMBOANGA CITY","9",,,,,,,,,,,,361,"VITALI DISTRICT, ZAMBOANGA CITY","9",,,,,,,,,,,,
933,"UPI AGRICULTURAL SCHOOL, MAGUINDANAO",ARMM,,,,,,,,,,,,933,"UPI AGRICULTURAL SCHOOL, MAGUINDANAO","ARMM",,,,,,,,,,,,933,"UPI AGRICULTURAL SCHOOL, MAGUINDANAO","ARMM",,,,,,,,,,,,
900,"CATUBIG, NORTHERN SAMAR",8,0.0,0.0,2.0,0.0,,0.0,0.0,0.0,,19.8,21.8,900,"CATUBIG, NORTHERN SAMAR","8",35.2,0.0,24.0,30.2,0.0,0.0,0.0,0.0,13.0,203.8,306.2,900,"CATUBIG, NORTHERN SAMAR","8",48.4,0.4,0.0,0.0,0.0,0.0,,,,,48.8,376.8
