,,,April 2017,,,,,,,,,,,,,,April 2017,,,,,,,,,,,,,,April 2017,,,,,,,,,,,
Station No.,Station Name,Region,1,2,3,4,5,6,7,8,9,10,Decadal,Station No.,Station Name,Region,11,12,13,14,15,16,17,18,19,20,Decadal,Station No.,Station Name,Region,21,22,23,24,25,26,27,28,29,30,Decadal,Total
885,"MAINIT, SURIGAO DEL NORTE",13,2.2,0.2,23.2,1.0,40.6,8.2,0.0,0.0,0.0,0.0,75.4,885,"MAINIT, SURIGAO DEL NORTE","13",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,885,"MAINIT, SURIGAO DEL NORTE","13",0.0,0.0,0.0,1.6,0.4,29.8,0.0,0.0,0.0,0.0,31.8,107.2
881,"KORONADAL, SOUTH COTABATO",12,41.2,0.0,0.0,0.2,0.0,0.0,0.0,0.2,0.2,0.0,41.8,881,"KORONADAL, SOUTH COTABATO","12",0.0,0.0,0.6,13.0,0.0,1.8,0.0,0.0,0.6,16.2,32.2,881,"KORONADAL, SOUTH COTABATO","12",0.0,32.2,0.0,14.6,0.0,0.0,12.6,0.0,3.4,2.0,64.8,138.8
893,"PROSPERIDAD, AGUSAN DEL SUR",13,,,,,,,,,,,,893,"PROSPERIDAD, AGUSAN DEL SUR","13",,,,,,,,,,,,893,"PROSPERIDAD, AGUSAN DEL SUR","13",,,,,,,,,,,,
862,"TABUK, KALINGA",CAR,,,,,,,,,,,,862,"TABUK, KALINGA","CAR",,,,,,,,,,,,862,"TABUK, KALINGA","CAR",,,,,,,,,,,,
295,"NSWRRDC SAN ILDEFONSO, BULACAN",3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,295,"NSWRRDC SAN ILDEFONSO, BULACAN","3",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,295,"NSWRRDC SAN ILDEFONSO, BULACAN","3",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
375,"DULAG, LEYTE",8,0.0,4.0,31.0,67.6,2.2,4.6,4.8,0.0,0.0,0.0,114.2,375,"DULAG, LEYTE","8",0.0,0.0,0.0,0.8,138.4,1.4,0.2,0.0,0.6,0.0,141.4,375,"DULAG, LEYTE","8",0.0,3.4,27.2,0.0,0.0,2.4,0.0,4.2,0.2,0.0,37.4,293
339,"STA. MARIA - PANGASINAN, PANGASINAN",1,,,0.0,0.0,0.0,0.0,0.0,7.2,0.8,0.0,8,339,"STA. MARIA - PANGASINAN, PANGASINAN","1",0.0,0.0,0.0,0.0,0.0,0.0,2.4,0.0,0.0,0.0,2.4,339,"STA. MARIA - PANGASINAN, PANGASINAN","1",0.0,0.0,0.0,0.2,53.4,0.0,0.0,0.0,0.0,0.0,53.6,64
373,"TANAY, RIZAL",4-A,0.8,0.8,0.0,0.0,0.0,0.0,0.0,1.6,0.0,0.0,3.2,373,"TANAY, RIZAL","4-A",0.0,0.0,0.0,0.0,3.6,10.2,0.2,0.2,0.2,0.0,14.4,373,"TANAY, RIZAL","4-A",0.2,0.0,14.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.6,32.2
366,"ISING, DAVAO DEL NORTE",11,1.4,1.4,4.2,0.4,14.8,0.2,0.8,0.0,0.0,0.0,23.2,366,"ISING, DAVAO DEL NORTE","11",0.0,1.0,2.0,0.0,0.0,0.0,2.6,0.2,0.0,0.0,5.8,366,"ISING, DAVAO DEL NORTE","11",0.0,0.0,0.2,0.0,0.0,0.0,0.0,6.6,0.0,0.0,6.8,35.8
368,"KITCHARAO, AGUSAN DEL NORTE",13,2.4,25.0,12.4,48.6,23.4,7.4,0.2,0.0,0.0,0.0,119.4,368,"KITCHARAO, AGUSAN DEL NORTE","13",0.0,21.2,30.4,19.8,2.8,0.0,0.0,0.0,0.0,0.0,74.2,368,"KITCHARAO, AGUSAN DEL NORTE","13",0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,13.4,0.0,13.8,207.4
875,"LASAM, CAGAYAN",2,,,,,,,,,,,,875,"LASAM, CAGAYAN","2",,,,,,,,,,,,875,"LASAM, CAGAYAN","2",,,,,,,,,,,,
869,"MALAYBALAY, BUKIDNON",10,2.4,0.8,0.4,0.2,1.0,0.2,0.2,0.0,3.6,0.0,8.8,869,"MALAYBALAY, BUKIDNON","10",5.3,0.0,,,,,,,,,5.3,869,"MALAYBALAY, BUKIDNON","10",,,,,,4.1,0.2,0.4,1.0,5.8,11.5,25.6
