,,,May 2017,,,,,,,,,,,,,,May 2017,,,,,,,,,,,,,,May 2017,,,,,,,,,,,,
Station No.,Station Name,Region,1,2,3,4,5,6,7,8,9,10,Decadal,Station No.,Station Name,Region,11,12,13,14,15,16,17,18,19,20,Decadal,Station No.,Station Name,Region,21,22,23,24,25,26,27,28,29,30,31,Decadal,Total
885,"MAINIT, SURIGAO DEL NORTE",13,0.0,0.0,0.0,0.0,0.0,12.4,0.2,0.0,11.4,13.4,37.4,885,"MAINIT, SURIGAO DEL NORTE","13",24.4,1.8,4.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.8,885,"MAINIT, SURIGAO DEL NORTE","13",0.0,0.0,0.2,0.0,3.6,0.0,0.0,9.2,0.0,0.0,0.0,13,81.2
881,"KORONADAL, SOUTH COTABATO",12,5.4,0.0,0.2,18.6,0.6,2.6,0.2,0.0,42.4,0.2,70.2,881,"KORONADAL, SOUTH COTABATO","12",0.0,0.2,18.4,0.8,7.8,1.4,0.4,0.4,0.0,0.0,29.4,881,"KORONADAL, SOUTH COTABATO","12",0.0,6.0,34.0,8.4,3.4,11.2,0.0,0.6,0.4,,0.2,64.2,163.8
893,"PROSPERIDAD, AGUSAN DEL SUR",13,,,,,,,,,,,,893,"PROSPERIDAD, AGUSAN DEL SUR","13",,,,,,0.0,0.0,0.0,0.0,0.0,0,893,"PROSPERIDAD, AGUSAN DEL SUR","13",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,0
862,"TABUK, KALINGA",CAR,,,,,,,,,,,,862,"TABUK, KALINGA","CAR",,,,,,,,,,,,862,"TABUK, KALINGA","CAR",,,,,,,,,,,,,
295,"NSWRRDC SAN ILDEFONSO, BULACAN",3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,295,"NSWRRDC SAN ILDEFONSO, BULACAN","3",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,295,"NSWRRDC SAN ILDEFONSO, BULACAN","3",,,,,,,,,,,,,0
375,"DULAG, LEYTE",8,0.0,14.2,25.4,0.0,22.2,7.8,24.6,16.6,27.4,21.2,159.4,375,"DULAG, LEYTE","8",31.8,34.6,0.6,2.6,0.6,0.0,0.0,0.0,0.0,0.0,70.2,375,"DULAG, LEYTE","8",0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,11.6,,7.8,19.8,249.4
339,"STA. MARIA - PANGASINAN, PANGASINAN",1,0.0,0.0,1.6,60.0,0.0,0.4,0.0,0.0,0.0,0.0,62,339,"STA. MARIA - PANGASINAN, PANGASINAN","1",0.0,0.0,6.8,,0.0,0.0,0.2,0.4,0.4,0.0,7.8,339,"STA. MARIA - PANGASINAN, PANGASINAN","1",26.4,0.0,0.0,0.2,9.8,7.4,26.4,0.0,0.0,0.0,0.0,70.2,140
373,"TANAY, RIZAL",4-A,,,,,,,,,,0.4,0.4,373,"TANAY, RIZAL","4-A",2.4,5.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.1,373,"TANAY, RIZAL","4-A",4.8,17.0,0.4,0.0,,26.0,,0.0,0.0,0.0,0.0,48.2,56.7
366,"ISING, DAVAO DEL NORTE",11,0.0,0.0,0.0,4.9,0.0,0.0,0.0,3.0,2.4,11.2,21.5,366,"ISING, DAVAO DEL NORTE","11",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,366,"ISING, DAVAO DEL NORTE","11",0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,,,0.0,0.2,22.7
368,"KITCHARAO, AGUSAN DEL NORTE",13,0.0,1.4,0.2,4.8,0.6,2.0,0.6,0.0,8.0,8.4,26,368,"KITCHARAO, AGUSAN DEL NORTE","13",2.6,9.2,0.0,0.0,0.0,0.0,3.6,14.2,0.0,0.0,29.6,368,"KITCHARAO, AGUSAN DEL NORTE","13",0.4,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1,56.6
875,"LASAM, CAGAYAN",2,,,,,,,,,,,,875,"LASAM, CAGAYAN","2",,,,,,,,,,,,875,"LASAM, CAGAYAN","2",,,,,,,,,,,,,
869,"MALAYBALAY, BUKIDNON",10,0.2,4.4,4.0,0.0,0.2,0.0,0.2,0.0,0.6,0.0,9.6,869,"MALAYBALAY, BUKIDNON","10",0.4,4.8,0.0,0.0,1.0,0.6,0.0,0.2,0.0,0.4,7.4,869,"MALAYBALAY, BUKIDNON","10",0.4,1.4,0.0,,4.4,1.0,20.4,26.8,0.0,0.0,,54.4,71.4
361,"VITALI DISTRICT, ZAMBOANGA CITY",9,,,,,,,,,,,,361,"VITALI DISTRICT, ZAMBOANGA CITY","9",,,,,,,,,,,,361,"VITALI DISTRICT, ZAMBOANGA CITY","9",,,,,,,,,,,,,
