,,,June 2017,,,,,,,,,,,,,,June 2017,,,,,,,,,,,,,,June 2017,,,,,,,,,,,
Station No.,Station Name,Region,1,2,3,4,5,6,7,8,9,10,Decadal,Station No.,Station Name,Region,11,12,13,14,15,16,17,18,19,20,Decadal,Station No.,Station Name,Region,21,22,23,24,25,26,27,28,29,30,Decadal,Total
885,"MAINIT, SURIGAO DEL NORTE",13,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,15.2,885,"MAINIT, SURIGAO DEL NORTE","13",0.0,0.0,1.4,0.0,0.0,0.0,5.0,0.0,0.0,1.2,7.6,885,"MAINIT, SURIGAO DEL NORTE","13",6.2,13.4,0.0,0.0,0.0,0.2,41.0,6.8,4.0,0.4,72,94.8
881,"KORONADAL, SOUTH COTABATO",12,0.0,0.0,,,0.6,4.4,3.8,9.2,0.4,0.0,18.4,881,"KORONADAL, SOUTH COTABATO","12",6.6,2.2,8.0,2.2,11.6,0.0,0.2,0.0,6.6,0.0,37.4,881,"KORONADAL, SOUTH COTABATO","12",14.4,0.2,12.8,0.4,20.0,0.0,0.0,0.0,0.0,23.2,71,126.8
893,"PROSPERIDAD, AGUSAN DEL SUR",13,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0,893,"PROSPERIDAD, AGUSAN DEL SUR","13",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,893,"PROSPERIDAD, AGUSAN DEL SUR","13",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
862,"TABUK, KALINGA",CAR,,,,,,,,,,,,862,"TABUK, KALINGA","CAR",0.0,,,,,,,,,,0,862,"TABUK, KALINGA","CAR",,,,,,,,,,,,0
295,"NSWRRDC SAN ILDEFONSO, BULACAN",3,,,,,,,,,,,,295,"NSWRRDC SAN ILDEFONSO, BULACAN","3",,,,,,,,,,,,295,"NSWRRDC SAN ILDEFONSO, BULACAN","3",,,,,,,,,,,,
375,"DULAG, LEYTE",8,0.0,0.0,,,8.6,3.4,0.0,48.0,12.8,0.0,72.8,375,"DULAG, LEYTE","8",0.0,2.2,14.0,0.0,0.0,1.8,0.0,10.6,0.0,0.4,29,375,"DULAG, LEYTE","8",2.4,0.6,2.6,0.2,0.0,0.0,0.0,0.0,6.6,5.6,18,119.8
339,"STA. MARIA - PANGASINAN, PANGASINAN",1,11.4,14.6,0.2,0.0,0.0,0.0,3.6,0.0,2.6,,32.4,339,"STA. MARIA - PANGASINAN, PANGASINAN","1",3.4,0.0,0.0,0.4,0.8,0.0,0.0,0.0,0.0,0.2,4.8,339,"STA. MARIA - PANGASINAN, PANGASINAN","1",0.0,14.2,0.0,0.0,7.2,0.0,0.2,1.2,4.2,0.0,27,64.2
373,"TANAY, RIZAL",4-A,0.0,,32.0,0.0,,0.0,4.8,0.2,,,37,373,"TANAY, RIZAL","4-A",0.0,0.0,0.0,0.0,0.0,0.0,0.4,,0.0,5.8,6.2,373,"TANAY, RIZAL","4-A",,12.4,0.2,,0.0,0.0,,0.0,0.4,,13,56.2
366,"ISING, DAVAO DEL NORTE",11,,0.0,,,0.0,0.0,16.4,19.2,6.2,0.0,41.8,366,"ISING, DAVAO DEL NORTE","11",0.0,1.8,0.0,0.0,0.4,0.0,5.4,0.6,0.0,0.0,8.2,366,"ISING, DAVAO DEL NORTE","11",0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,15.0,15.8,65.8
