,,,January 2017,,,,,,,,,,,,,,January 2017,,,,,,,,,,,,,,January 2017,,,,,,,,,,,,
Station No.,Station Name,Region,1,2,3,4,5,6,7,8,9,10,Decadal,Station No.,Station Name,Region,11,12,13,14,15,16,17,18,19,20,Decadal,Station No.,Station Name,Region,21,22,23,24,25,26,27,28,29,30,31,Decadal,Total
885,"MAINIT, SURIGAO DEL NORTE",13,,,,,,,,,0.0,,0,885,"MAINIT, SURIGAO DEL NORTE","13",,,,,23.0,69.2,83.0,90.6,14.6,47.4,327.8,885,"MAINIT, SURIGAO DEL NORTE","13",14.2,0.0,,,,,,,,,,14.2,342
881,"KORONADAL, SOUTH COTABATO",12,5.2,16.8,0.0,4.4,0.8,1.2,0.0,0.0,0.0,0.0,28.4,881,"KORONADAL, SOUTH COTABATO","12",0.0,0.6,0.0,0.0,0.0,1.6,0.0,12.8,7.6,0.0,22.6,881,"KORONADAL, SOUTH COTABATO","12",10.4,0.2,5.4,0.6,0.2,0.0,0.0,6.6,3.0,0.0,0.0,26.4,77.4
893,"PROSPERIDAD, AGUSAN DEL SUR",13,5.6,9.0,15.6,6.8,41.4,74.2,33.4,3.4,36.6,2.4,228.4,893,"PROSPERIDAD, AGUSAN DEL SUR","13",0.0,0.0,0.0,0.0,1.2,5.2,0.0,8.2,0.0,0.0,14.6,893,"PROSPERIDAD, AGUSAN DEL SUR","13",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,243
862,"TABUK, KALINGA",CAR,,,,,,,,,,,0,862,"TABUK, KALINGA","CAR",,,0.0,,0.0,,,,,,0,862,"TABUK, KALINGA","CAR",0.0,0.2,0.2,6.6,,,0.2,1.6,0.0,0.2,1.0,10,10
295,"NSWRRDC SAN ILDEFONSO, BULACAN",3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4,5.4,295,"NSWRRDC SAN ILDEFONSO, BULACAN","3",3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4,295,"NSWRRDC SAN ILDEFONSO, BULACAN","3",0.0,13.8,1.8,0.2,0.0,0.0,0.0,0.0,0.0,0.0,5.2,21,29.8
375,"DULAG, LEYTE",8,13.0,7.8,0.0,18.2,0.0,2.2,7.4,99.8,5.0,36.2,189.6,375,"DULAG, LEYTE","8",1.6,2.8,2.0,1.2,36.0,196.6,18.2,26.0,29.4,4.2,318,375,"DULAG, LEYTE","8",24.8,13.2,0.4,0.6,0.2,0.0,0.0,21.8,0.0,8.4,8.6,78,585.6
339,"STA. MARIA - PANGASINAN, PANGASINAN",1,,,,,,,,,,,,339,"STA. MARIA - PANGASINAN, PANGASINAN","1",,,,,,0.0,0.0,0.0,0.0,0.0,0,339,"STA. MARIA - PANGASINAN, PANGASINAN","1",0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
373,"TANAY, RIZAL",4-A,1.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.2,29.0,30.8,373,"TANAY, RIZAL","4-A",8.0,0.4,0.2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9.6,373,"TANAY, RIZAL","4-A",0.0,55.2,13.4,5.6,2.4,5.0,0.0,4.2,0.0,0.0,3.2,89,129.4
366,"ISING, DAVAO DEL NORTE",11,,,,,,27.6,2.8,0.4,4.6,0.2,35.6,366,"ISING, DAVAO DEL NORTE","11",0.0,0.0,0.0,,,,,46.2,5.2,0.0,51.4,366,"ISING, DAVAO DEL NORTE","11",59.8,14.4,3.8,16.0,0.4,0.0,0.8,0.0,0.0,23.8,21.2,140.2,227.2
