,,,December 2017,,,,,,,,,,,,,,December 2017,,,,,,,,,,,,,,December 2017,,,,,,,,,,,,
Station No.,Station Name,Region,1,2,3,4,5,6,7,8,9,10,Decadal,Station No.,Station Name,Region,11,12,13,14,15,16,17,18,19,20,Decadal,Station No.,Station Name,Region,21,22,23,24,25,26,27,28,29,30,31,Decadal,Total
885,"MAINIT, SURIGAO DEL NORTE",13,0.6,3.2,0.0,5.8,12.8,0.0,0.0,0.0,0.0,0.0,22.4,885,"MAINIT, SURIGAO DEL NORTE","13",9.6,0.2,28.6,57.6,3.0,0.0,0.0,0.0,0.0,16.2,115.2,885,"MAINIT, SURIGAO DEL NORTE","13",80.6,12.2,0.0,0.0,3.4,12.6,0.2,17.6,3.0,12.0,16.4,158,295.6
881,"KORONADAL, SOUTH COTABATO",12,3.4,4.2,,,,,,0.0,14.0,0.0,21.6,881,"KORONADAL, SOUTH COTABATO","12",6.2,9.6,2.0,12.0,0.0,0.0,0.6,0.0,9.2,0.2,39.8,881,"KORONADAL, SOUTH COTABATO","12",2.8,0.8,1.8,0.0,0.0,0.2,0.6,0.0,0.0,0.0,0.0,6.2,67.6
893,"PROSPERIDAD, AGUSAN DEL SUR",13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,893,"PROSPERIDAD, AGUSAN DEL SUR","13",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,893,"PROSPERIDAD, AGUSAN DEL SUR","13",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
862,"TABUK, KALINGA",CAR,,,,,,,,,,,,862,"TABUK, KALINGA","CAR",,,,,,,,,,,,862,"TABUK, KALINGA","CAR",,,,,,,,,,,,,
295,"NSWRRDC SAN ILDEFONSO, BULACAN",3,,,,,,,,,,,,295,"NSWRRDC SAN ILDEFONSO, BULACAN","3",,,,,,,,,,,,295,"NSWRRDC SAN ILDEFONSO, BULACAN","3",,,,,,,,,,,,,
375,"DULAG, LEYTE",8,13.4,14.2,1.6,1.8,26.0,0.0,0.0,0.0,13.8,0.0,70.8,375,"DULAG, LEYTE","8",12.0,30.0,66.8,75.2,88.2,46.6,1.0,0.0,0.6,8.0,328.4,375,"DULAG, LEYTE","8",47.8,14.8,26.2,7.2,4.2,6.8,11.6,1.4,38.8,6.2,18.6,183.6,582.8
339,"STA. MARIA - PANGASINAN, PANGASINAN",1,0.0,0.0,0.0,0.0,1.4,0.0,0.0,0.0,0.0,0.2,1.6,339,"STA. MARIA - PANGASINAN, PANGASINAN","1",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.6,339,"STA. MARIA - PANGASINAN, PANGASINAN","1",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.2
373,"TANAY, RIZAL",4-A,3.2,0.0,0.2,1.2,3.2,5.8,13.0,11.4,8.6,0.2,46.8,373,"TANAY, RIZAL","4-A",4.8,18.6,0.2,0.0,0.0,0.0,21.8,10.8,9.6,9.6,75.4,373,"TANAY, RIZAL","4-A",7.8,7.2,17.0,0.8,1.4,7.2,9.6,0.2,0.0,0.0,0.0,51.2,173.4
366,"ISING, DAVAO DEL NORTE",11,3.6,0.0,3.0,0.0,17.6,13.4,0.0,66.6,0.8,44.8,149.8,366,"ISING, DAVAO DEL NORTE","11",2.0,19.6,0.2,0.0,0.0,0.0,0.0,0.0,4.8,0.2,26.8,366,"ISING, DAVAO DEL NORTE","11",86.2,8.2,0.0,0.2,0.0,4.2,1.8,1.0,1.4,2.0,0.0,105,281.6
