,,,March 2017,,,,,,,,,,,,,,March 2017,,,,,,,,,,,,,,March 2017,,,,,,,,,,,,
Station No.,Station Name,Region,1,2,3,4,5,6,7,8,9,10,Decadal,Station No.,Station Name,Region,11,12,13,14,15,16,17,18,19,20,Decadal,Station No.,Station Name,Region,21,22,23,24,25,26,27,28,29,30,31,Decadal,Total
885,"MAINIT, SURIGAO DEL NORTE",13,16.2,12.6,8.6,,7.2,,,10.0,,,54.6,885,"MAINIT, SURIGAO DEL NORTE","13",,,,,,0.0,0.0,0.2,,0.0,0.2,885,"MAINIT, SURIGAO DEL NORTE","13",,0.0,0.0,0.0,,0.2,23.6,,,1.6,0.0,25.4,80.2
881,"KORONADAL, SOUTH COTABATO",12,0.0,0.2,0.0,0.0,0.0,0.2,0.2,9.2,3.2,0.0,13,881,"KORONADAL, SOUTH COTABATO","12",3.4,0.2,17.2,1.2,1.4,0.0,0.0,0.0,0.2,4.8,28.4,881,"KORONADAL, SOUTH COTABATO","12",1.6,0.0,0.0,0.2,2.4,0.0,0.4,8.6,0.0,2.2,0.0,15.4,56.8
893,"PROSPERIDAD, AGUSAN DEL SUR",13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,893,"PROSPERIDAD, AGUSAN DEL SUR","13",0.0,0.0,0.0,,,,,,,,0,893,"PROSPERIDAD, AGUSAN DEL SUR","13",,,,,,,,,,,,,0
862,"TABUK, KALINGA",CAR,,,,,,,,,,,,862,"TABUK, KALINGA","CAR",,,,,,,,,,,,862,"TABUK, KALINGA","CAR",,,,,,,,,,,,,
295,"NSWRRDC SAN ILDEFONSO, BULACAN",3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,295,"NSWRRDC SAN ILDEFONSO, BULACAN","3",0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.2,295,"NSWRRDC SAN ILDEFONSO, BULACAN","3",0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.1,0.0,0.0,0.0,6.1,6.3
375,"DULAG, LEYTE",8,0.0,0.0,0.0,0.0,0.0,36.2,51.4,4.2,1.6,23.0,116.4,375,"DULAG, LEYTE","8",52.4,1.0,0.0,4.6,22.2,3.4,3.4,0.0,0.2,68.4,155.6,375,"DULAG, LEYTE","8",0.6,0.0,0.0,0.0,0.2,0.8,1.4,66.2,10.0,7.4,8.8,95.4,367.4
339,"STA. MARIA - PANGASINAN, PANGASINAN",1,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,339,"STA. MARIA - PANGASINAN, PANGASINAN","1",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,339,"STA. MARIA - PANGASINAN, PANGASINAN","1",0.4,0.0,0.0,0.0,0.0,32.2,0.0,,,,,32.6,33.2
373,"TANAY, RIZAL",4-A,0.0,0.0,,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2,373,"TANAY, RIZAL","4-A",,,0.0,0.0,,0.0,,,,,0,373,"TANAY, RIZAL","4-A",,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2,2.2
366,"ISING, DAVAO DEL NORTE",11,0.4,3.2,0.0,0.0,0.4,,39.6,3.8,7.4,0.2,55,366,"ISING, DAVAO DEL NORTE","11",2.2,0.6,4.4,0.0,7.2,0.0,0.4,0.2,0.0,2.0,17,366,"ISING, DAVAO DEL NORTE","11",0.0,1.6,0.0,0.0,4.9,2.6,2.0,18.8,0.0,0.0,0.0,29.9,101.9
