,,,January 2018,,,,,,,,,,,,,,January 2018,,,,,,,,,,,,,,January 2018,,,,,,,,,,,,
Station No.,Station Name,Region,1,2,3,4,5,6,7,8,9,10,Decadal,Station No.,Station Name,Region,11,12,13,14,15,16,17,18,19,20,Decadal,Station No.,Station Name,Region,21,22,23,24,25,26,27,28,29,30,31,Decadal,Total
885,"MAINIT, SURIGAO DEL NORTE",13,100.6,2.0,0.0,0.0,14.0,4.4,16.8,4.4,11.6,2.6,156.4,885,"MAINIT, SURIGAO DEL NORTE","13",0.6,18.8,30.0,19.0,43.2,51.0,0.2,7.6,22.2,6.4,199,885,"MAINIT, SURIGAO DEL NORTE","13",31.8,0.2,9.2,5.8,19.8,0.8,86.6,1.4,0.0,3.2,0.8,159.6,515
881,"KORONADAL, SOUTH COTABATO",12,0.0,0.0,2.4,0.8,0.0,4.8,1.6,0.4,0.0,0.0,10,881,"KORONADAL, SOUTH COTABATO","12",0.0,0.0,2.0,38.0,0.4,0.0,0.0,0.0,0.0,10.4,50.8,881,"KORONADAL, SOUTH COTABATO","12",0.0,0.0,0.0,7.0,0.0,,0.0,0.0,0.0,0.0,0.0,7,67.8
893,"PROSPERIDAD, AGUSAN DEL SUR",13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,893,"PROSPERIDAD, AGUSAN DEL SUR","13",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,893,"PROSPERIDAD, AGUSAN DEL SUR","13",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
862,"TABUK, KALINGA",CAR,,,,,,,,,,,,862,"TABUK, KALINGA","CAR",,,,,,,,,,,,862,"TABUK, KALINGA","CAR",,,,,,,,,,,,,
295,"NSWRRDC SAN ILDEFONSO, BULACAN",3,,,,,,,,,,,,295,"NSWRRDC SAN ILDEFONSO, BULACAN","3",,,,,,,,,,,,295,"NSWRRDC SAN ILDEFONSO, BULACAN","3",,,,,,,,,,,,,
375,"DULAG, LEYTE",8,94.8,22.6,1.6,12.4,10.2,0.0,4.8,2.4,18.8,29.0,196.6,375,"DULAG, LEYTE","8",3.0,0.2,46.2,112.6,23.0,66.0,0.0,88.6,6.4,1.2,347.2,375,"DULAG, LEYTE","8",6.8,44.4,0.0,5.2,0.0,6.2,82.0,57.2,0.0,0.4,0.0,202.2,746
339,"STA. MARIA - PANGASINAN, PANGASINAN",1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,339,"STA. MARIA - PANGASINAN, PANGASINAN","1",0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0,339,"STA. MARIA - PANGASINAN, PANGASINAN","1",0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0,0
373,"TANAY, RIZAL",4-A,0.0,1.4,0.4,0.0,0.0,0.0,7.4,0.0,0.4,0.2,9.8,373,"TANAY, RIZAL","4-A",0.4,0.0,0.0,0.0,0.0,29.4,0.4,2.8,0.0,0.2,33.2,373,"TANAY, RIZAL","4-A",0.4,0.0,0.0,1.2,0.0,28.8,9.0,0.8,0.0,0.0,1.8,42,85
366,"ISING, DAVAO DEL NORTE",11,20.4,0.0,3.4,5.8,1.6,0.4,11.0,0.6,32.2,6.4,81.8,366,"ISING, DAVAO DEL NORTE","11",0.0,0.0,4.0,21.8,2.6,0.6,25.8,33.8,0.6,13.0,102.2,366,"ISING, DAVAO DEL NORTE","11",0.0,3.6,0.0,3.2,0.0,25.6,15.6,0.0,0.0,0.0,0.0,48,232
368,"KITCHARAO, AGUSAN DEL NORTE",13,127.2,5.6,0.2,0.0,2.2,3.2,18.4,15.8,11.0,0.4,184,368,"KITCHARAO, AGUSAN DEL NORTE","13",0.0,0.8,22.8,17.0,22.4,46.2,0.0,52.8,26.6,7.4,196,368,"KITCHARAO, AGUSAN DEL NORTE","13",34.6,0.6,12.2,3.4,0.0,0.2,59.0,1.0,6.4,1.0,0.2,118.6,498.6
875,"LASAM, CAGAYAN",2,,,,,,,,,,,,875,"LASAM, CAGAYAN","2",,,,,,,,,,,,875,"LASAM, CAGAYAN","2",,,,,,,,,,,,,
869,"MALAYBALAY, BUKIDNON",10,7.4,1.8,0.0,,,,,0.0,11.2,0.0,20.4,869,"MALAYBALAY, BUKIDNON","10",0.0,12.0,21.8,7.6,1.2,3.6,0.2,5.8,0.0,1.8,54,869,"MALAYBALAY, BUKIDNON","10",0.0,0.0,28.8,0.0,0.0,0.4,3.8,0.0,0.2,0.0,0.0,33.2,107.6
361,"VITALI DISTRICT, ZAMBOANGA CITY",9,,,,,,,,,,,,361,"VITALI DISTRICT, ZAMBOANGA CITY","9",,,,,,25.2,5.4,1.0,0.2,10.2,42,361,"VITALI DISTRICT, ZAMBOANGA CITY","9",1.4,0.0,16.0,1.4,2.8,11.4,0.0,0.0,0.0,0.0,0.0,33,75
933,"UPI AGRICULTURAL SCHOOL, MAGUINDANAO",ARMM,0.2,23.8,14.4,1.0,0.0,0.0,0.0,8.0,0.0,0.0,47.4,933,"UPI AGRICULTURAL SCHOOL, MAGUINDANAO","ARMM",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,933,"UPI AGRICULTURAL SCHOOL, MAGUINDANAO","ARMM",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,47.4
