,,,June 2018,,,,,,,,,,,,,,June 2018,,,,,,,,,,,,,,June 2018,,,,,,,,,,,
Station No.,Station Name,Region,1,2,3,4,5,6,7,8,9,10,Decadal,Station No.,Station Name,Region,11,12,13,14,15,16,17,18,19,20,Decadal,Station No.,Station Name,Region,21,22,23,24,25,26,27,28,29,30,Decadal,Total
873,"GINGOOG CITY, MISAMIS ORIENTAL",10,1.8,1.6,0.0,15.8,3.4,1.0,0.0,0.0,0.0,0.0,23.6,873,"GINGOOG CITY, MISAMIS ORIENTAL","10",,0.0,0.8,11.4,0.0,0.0,0.0,5.8,15.2,0.0,33.2,873,"GINGOOG CITY, MISAMIS ORIENTAL","10",7.0,14.4,0.0,0.0,5.4,0.0,1.8,0.0,0.0,15.6,44.2,101
342,"PAMPLONA, CAMARINES SUR",5,,,,,,,,,,,,342,"PAMPLONA, CAMARINES SUR","5",,,,,,,,,,,,342,"PAMPLONA, CAMARINES SUR","5",,,,,,,,,,,,
348,"BAIS, NEGROS ORIENTAL",7,0.0,43.0,0.0,2.6,6.4,5.4,7.6,3.4,4.0,0.4,72.8,348,"BAIS, NEGROS ORIENTAL","7",0.0,0.0,0.0,0.0,0.0,,,0.0,20.6,0.8,21.4,348,"BAIS, NEGROS ORIENTAL","7",0.0,5.4,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,5.8,100
929,"PALAYAN CITY, NUEVA ECIJA",3,0.0,3.6,0.6,2.8,0.2,34.4,0.0,1.6,5.0,3.4,51.6,929,"PALAYAN CITY, NUEVA ECIJA","3",6.4,0.2,9.4,12.4,6.4,0.8,1.8,0.0,1.0,14.8,53.2,929,"PALAYAN CITY, NUEVA ECIJA","3",20.6,0.8,3.6,9.6,2.6,12.6,15.8,0.0,0.0,11.0,76.6,181.4
1552,"TUMAUINI(BRGY. ARCON), ISABELA",2,0.0,0.0,0.0,0.2,0.0,8.2,0.0,0.8,1.2,0.2,10.6,1552,"TUMAUINI(BRGY. ARCON), ISABELA","2",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1552,"TUMAUINI(BRGY. ARCON), ISABELA","2",0.0,0.0,0.0,0.0,0.4,0.0,1.6,0.0,0.0,0.0,2,12.6
876,"ABULUG, CAGAYAN",2,,,,,,,,,,,,876,"ABULUG, CAGAYAN","2",,,,,,,,,,,,876,"ABULUG, CAGAYAN","2",,,,,,,,,,,,
357,"POLANCO, ZAMBOANGA DEL NORTE",9,,,,,,,,,,,,357,"POLANCO, ZAMBOANGA DEL NORTE","9",,,,,,,,,,,,357,"POLANCO, ZAMBOANGA DEL NORTE","9",,,,,,,,,,,,
1143,"MASBATE, MASBATE",5,,,,,,,,,,,,1143,"MASBATE, MASBATE","5",,,,,,,,,,,,1143,"MASBATE, MASBATE","5",,,,,,,,,,,,
344,"LABO, CAMARINES NORTE",5,,,,,,,,,,,,344,"LABO, CAMARINES NORTE","5",,,,,,,,,,,,344,"LABO, CAMARINES NORTE","5",,,,,,,,,,,,
922,"ROXAS PALAWAN, PALAWAN",4-B,,,,,,,,,,,,922,"ROXAS PALAWAN, PALAWAN","4-B",,,,,,,,,,,,922,"ROXAS PALAWAN, PALAWAN","4-B",,,,,,,,,,,,
329,"SAN ANTONIO, QUEZON",4-A,,,,,,,,,,,,329,"SAN ANTONIO, QUEZON","4-A",,,,,,,,,,,,329,"SAN ANTONIO, QUEZON","4-A",,,,,,,,,,,,
378,"BABATNGON, LEYTE",8,,,,,,,,,,,,378,"BABATNGON, LEYTE","8",,,,,,,,,,,,378,"BABATNGON, LEYTE","8",,,,,,,,,,,,
354,"NAVAL, BILIRAN",8,0.0,,,,,,,,,,0,354,"NAVAL, BILIRAN","8",,,,,,,,,,,,354,"NAVAL, BILIRAN","8",,,,,,,,,,,,0
899,"CAN-AVID, EASTERN SAMAR",8,,,,,,,,,,,,899,"CAN-AVID, EASTERN SAMAR","8",,,,,,,,,,,,899,"CAN-AVID, EASTERN SAMAR","8",,,,,,,,,,,,
363,"SULOP, POBLACION, DAVAO DEL SUR",11,6.6,0.0,0.4,0.2,0.0,0.2,0.0,,,,7.4,363,"SULOP, POBLACION, DAVAO DEL SUR","11",,,,,,,,,,,,363,"SULOP, POBLACION, DAVAO DEL SUR","11",,,,,,,,,,,,7.4
870,"LANAO DEL NORTE, LANAO DEL NORTE",10,14.8,1.8,2.4,0.0,3.0,12.4,8.8,24.8,4.8,0.8,73.6,870,"LANAO DEL NORTE, LANAO DEL NORTE","10",1.6,10.0,0.0,0.0,0.0,0.0,0.0,0.0,6.4,1.2,19.2,870,"LANAO DEL NORTE, LANAO DEL NORTE","10",7.0,0.0,0.0,2.6,0.0,0.0,11.2,0.0,0.6,0.0,21.4,114.2
898,"SAN MIGUEL, LEYTE",8,,,,,,,,,,,,898,"SAN MIGUEL, LEYTE","8",,,,,,,,,,,,898,"SAN MIGUEL, LEYTE","8",,,,,,,,,,,,
902,"GERONA, TARLAC",3,0.0,0.0,4.6,0.0,16.2,1.8,0.0,,19.0,10.4,52,902,"GERONA, TARLAC","3",16.2,15.6,19.8,33.6,33.8,3.2,4.6,0.0,0.0,8.8,135.6,902,"GERONA, TARLAC","3",3.0,3.2,0.0,6.0,31.8,16.2,0.2,1.2,4.0,1.6,67.2,254.8
987,"BASILAN, ISABELA CITY",9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,987,"BASILAN, ISABELA CITY","9",,,,,,,,,,,,987,"BASILAN, ISABELA CITY","9",,,,,,,,,,,,0
376,"PIGCAWAYAN, COTABATO",12,,,,,,,0.0,0.0,0.0,0.0,0,376,"PIGCAWAYAN, COTABATO","12",,0.0,0.0,0.0,12.6,0.0,0.0,0.0,0.0,10.0,22.6,376,"PIGCAWAYAN, COTABATO","12",23.8,0.0,0.0,6.8,0.0,0.8,0.0,1.0,0.0,0.0,32.4,55
919,"PATNONGON, ANTIQUE",6,43.6,55.0,0.0,0.0,5.6,11.2,21.0,66.2,20.8,3.2,226.6,919,"PATNONGON, ANTIQUE","6",,0.0,0.0,0.4,18.2,0.0,36.2,2.6,6.8,0.0,64.2,919,"PATNONGON, ANTIQUE","6",0.0,0.0,0.0,0.8,0.4,5.6,0.0,0.0,11.8,19.8,38.4,329.2
918,"SAN LUIS, AURORA",3,3.2,3.0,0.0,0.0,0.0,36.2,0.0,0.0,0.4,2.6,45.4,918,"SAN LUIS, AURORA","3",14.4,7.6,3.0,1.2,1.6,0.2,0.0,0.0,0.0,0.2,28.2,918,"SAN LUIS, AURORA","3",17.0,4.4,0.4,43.2,17.8,4.8,0.0,0.0,0.0,0.0,87.6,161.2
932,"SULTAN KUDARAT, MAGUINDANAO, MAGUINDANAO",ARMM,,,,,,,,,,,,932,"SULTAN KUDARAT, MAGUINDANAO, MAGUINDANAO","ARMM",,,,,,,,,,,,932,"SULTAN KUDARAT, MAGUINDANAO, MAGUINDANAO","ARMM",,,,,,,,,,,,
349,"SIQUIJOR, SIQUIJOR",7,1.4,2.4,0.0,0.0,19.2,1.2,1.4,3.6,0.0,0.0,29.2,349,"SIQUIJOR, SIQUIJOR","7",0.0,0.0,0.0,0.0,1.6,,,,,,1.6,349,"SIQUIJOR, SIQUIJOR","7",,,,,0.6,0.0,5.0,0.4,0.0,0.0,6,36.8
356,"KALAWIT, ZAMBOANGA DEL NORTE",9,4.4,13.8,0.2,0.0,0.2,4.4,0.0,0.0,0.0,0.0,23,356,"KALAWIT, ZAMBOANGA DEL NORTE","9",,,,,,,,,,,0,356,"KALAWIT, ZAMBOANGA DEL NORTE","9",,,,,,,,,,,,23
