,,,April 2018,,,,,,,,,,,,,,April 2018,,,,,,,,,,,,,,April 2018,,,,,,,,,,,
Station No.,Station Name,Region,1,2,3,4,5,6,7,8,9,10,Decadal,Station No.,Station Name,Region,11,12,13,14,15,16,17,18,19,20,Decadal,Station No.,Station Name,Region,21,22,23,24,25,26,27,28,29,30,Decadal,Total
885,"MAINIT, SURIGAO DEL NORTE",13,0.0,0.0,0.0,7.2,0.0,0.0,,0.0,0.0,22.0,29.2,885,"MAINIT, SURIGAO DEL NORTE","13",0.2,0.4,2.8,2.4,6.8,2.8,0.4,26.4,8.4,0.0,50.6,885,"MAINIT, SURIGAO DEL NORTE","13",0.0,0.0,0.0,0.0,0.0,0.4,0.0,,,19.0,19.4,99.2
881,"KORONADAL, SOUTH COTABATO",12,0.0,0.0,0.0,,,,,,,,0,881,"KORONADAL, SOUTH COTABATO","12",,,,,,0.6,27.6,0.2,2.0,1.4,31.8,881,"KORONADAL, SOUTH COTABATO","12",0.0,0.0,0.0,7.6,0.0,0.0,0.0,,,,7.6,39.4
893,"PROSPERIDAD, AGUSAN DEL SUR",13,0.0,0.0,0.0,0.4,1.2,0.0,0.0,0.0,1.0,13.4,16,893,"PROSPERIDAD, AGUSAN DEL SUR","13",0.2,3.4,0.0,1.2,1.0,3.0,4.2,10.8,9.6,0.0,33.4,893,"PROSPERIDAD, AGUSAN DEL SUR","13",0.0,0.0,0.0,157.8,1017.0,958.0,0.6,,,24.6,2158,2207.4
862,"TABUK, KALINGA",CAR,,,,,,,,,,,,862,"TABUK, KALINGA","CAR",,,,,,,,,,,,862,"TABUK, KALINGA","CAR",,,,,0.0,6.6,0.0,0.0,,0.0,6.6,6.6
295,"NSWRRDC SAN ILDEFONSO, BULACAN",3,,,,,,,,,,,,295,"NSWRRDC SAN ILDEFONSO, BULACAN","3",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,295,"NSWRRDC SAN ILDEFONSO, BULACAN","3",0.0,0.0,0.0,0.2,0.0,0.6,0.0,0.0,0.0,0.0,0.8,0.8
375,"DULAG, LEYTE",8,0.0,0.0,0.0,12.0,0.0,0.0,,7.4,14.8,15.8,50,375,"DULAG, LEYTE","8",10.8,0.0,0.0,0.0,0.0,0.0,0.0,32.2,0.0,7.4,50.4,375,"DULAG, LEYTE","8",0.0,27.8,2.2,0.4,0.0,0.0,6.4,,0.0,2.6,39.4,139.8
339,"STA. MARIA - PANGASINAN, PANGASINAN",1,16.0,0.0,31.4,0.2,0.0,0.0,0.0,0.0,0.0,20.6,68.2,339,"STA. MARIA - PANGASINAN, PANGASINAN","1",0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,339,"STA. MARIA - PANGASINAN, PANGASINAN","1",0.0,0.0,0.0,0.0,0.0,71.6,0.0,0.0,,0.0,71.6,140
373,"TANAY, RIZAL",4-A,0.0,0.0,5.6,1.0,0.0,0.0,0.0,0.0,0.4,0.0,7,373,"TANAY, RIZAL","4-A",0.0,0.2,0.0,0.0,0.2,0.0,,,,,0.4,373,"TANAY, RIZAL","4-A",,,,,,,,,,,,7.4
366,"ISING, DAVAO DEL NORTE",11,0.2,7.6,14.8,0.0,0.0,0.0,0.0,0.0,3.2,11.4,37.2,366,"ISING, DAVAO DEL NORTE","11",14.0,0.2,0.2,0.8,5.4,0.0,,,,,20.6,366,"ISING, DAVAO DEL NORTE","11",,,,,,,,,,,,57.8
368,"KITCHARAO, AGUSAN DEL NORTE",13,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.6,4.2,368,"KITCHARAO, AGUSAN DEL NORTE","13",0.0,0.6,0.0,0.0,0.0,0.0,1.8,7.4,4.2,0.6,14.6,368,"KITCHARAO, AGUSAN DEL NORTE","13",0.6,0.2,0.0,0.0,0.0,1.6,2.8,0.8,0.0,0.8,6.8,25.6
875,"LASAM, CAGAYAN",2,,,,,,,,,,,,875,"LASAM, CAGAYAN","2",,,,,,,,,,,,875,"LASAM, CAGAYAN","2",,,,,,,,,,,,
869,"MALAYBALAY, BUKIDNON",10,0.0,0.0,0.0,0.0,1.2,0.0,0.0,1.8,0.0,0.6,3.6,869,"MALAYBALAY, BUKIDNON","10",0.2,0.2,0.0,3.0,0.0,0.8,5.0,0.2,0.0,1.6,11,869,"MALAYBALAY, BUKIDNON","10",0.0,0.0,0.0,0.0,5.2,33.8,2.8,2.0,0.0,0.0,43.8,58.4
361,"VITALI DISTRICT, ZAMBOANGA CITY",9,0.0,0.0,0.0,0.0,0.0,1.4,,0.0,0.2,0.2,1.8,361,"VITALI DISTRICT, ZAMBOANGA CITY","9",2.2,0.0,13.2,0.4,9.4,0.4,4.0,4.4,4.2,12.0,50.2,361,"VITALI DISTRICT, ZAMBOANGA CITY","9",0.0,0.0,0.0,0.4,0.0,0.0,,,2.8,0.0,3.2,55.2
933,"UPI AGRICULTURAL SCHOOL, MAGUINDANAO",ARMM,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0,933,"UPI AGRICULTURAL SCHOOL, MAGUINDANAO","ARMM",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,933,"UPI AGRICULTURAL SCHOOL, MAGUINDANAO","ARMM",0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0,0
900,"CATUBIG, NORTHERN SAMAR",8,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0,900,"CATUBIG, NORTHERN SAMAR","8",,0.0,0.0,0.0,0.0,,,,,,0,900,"CATUBIG, NORTHERN SAMAR","8",,,,,,,,,,,,0
367,"PLARIDEL, MISAMIS OCCIDENTAL",10,,,,,0.0,0.0,26.6,0.6,0.0,0.0,27.2,367,"PLARIDEL, MISAMIS OCCIDENTAL","10",0.0,0.0,0.0,0.0,0.0,1.6,7.8,0.0,0.0,0.4,9.8,367,"PLARIDEL, MISAMIS OCCIDENTAL","10",0.0,6.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.6,43.6
853,"BANGA, AKLAN",6,6.6,0.0,0.2,17.2,3.0,0.0,0.0,0.0,1.6,0.2,28.8,853,"BANGA, AKLAN","6",1.4,2.6,0.0,0.0,0.0,0.0,0.6,0.0,82.6,6.6,93.8,853,"BANGA, AKLAN","6",0.0,9.2,0.8,0.0,0.0,0.0,0.2,0.0,0.2,0.0,10.4,133
318,"UBAY, BOHOL",7,0.0,0.0,0.0,0.0,0.0,0.0,23.8,1.2,0.0,0.0,25,318,"UBAY, BOHOL","7",0.0,2.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,2.4,318,"UBAY, BOHOL","7",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,28.4
