,,,March 2018,,,,,,,,,,,,,,March 2018,,,,,,,,,,,,,,March 2018,,,,,,,,,,,,
Station No.,Station Name,Region,1,2,3,4,5,6,7,8,9,10,Decadal,Station No.,Station Name,Region,11,12,13,14,15,16,17,18,19,20,Decadal,Station No.,Station Name,Region,21,22,23,24,25,26,27,28,29,30,31,Decadal,Total
885,"MAINIT, SURIGAO DEL NORTE",13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.8,3.2,6,885,"MAINIT, SURIGAO DEL NORTE","13",2.4,3.4,34.0,7.6,0.0,17.6,6.0,10.6,0.0,1.0,82.6,885,"MAINIT, SURIGAO DEL NORTE","13",0.4,0.4,13.6,20.8,0.4,0.0,0.0,0.0,0.0,4.8,3.0,43.4,132
881,"KORONADAL, SOUTH COTABATO",12,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,881,"KORONADAL, SOUTH COTABATO","12",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,7,881,"KORONADAL, SOUTH COTABATO","12",1.8,3.8,0.0,0.0,0.0,11.2,0.0,0.0,0.0,0.0,0.0,16.8,24.6
893,"PROSPERIDAD, AGUSAN DEL SUR",13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6,3.6,893,"PROSPERIDAD, AGUSAN DEL SUR","13",8.4,0.0,0.0,0.0,0.0,1.0,2.4,16.6,1.6,0.0,30,893,"PROSPERIDAD, AGUSAN DEL SUR","13",1.2,0.0,3.4,11.6,12.8,3.0,0.0,0.0,0.0,0.0,4.4,36.4,70
862,"TABUK, KALINGA",CAR,,,,,,,,,,,,862,"TABUK, KALINGA","CAR",,,,,,,,,,,,862,"TABUK, KALINGA","CAR",,,,,,,,,,,,,
295,"NSWRRDC SAN ILDEFONSO, BULACAN",3,,,,,,,,,,,,295,"NSWRRDC SAN ILDEFONSO, BULACAN","3",,,,,,,,,,,,295,"NSWRRDC SAN ILDEFONSO, BULACAN","3",,,,,,,,,,,,,
375,"DULAG, LEYTE",8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.4,0.4,8.8,375,"DULAG, LEYTE","8",122.2,49.8,3.8,0.0,0.0,0.0,0.0,0.0,0.0,1.2,177,375,"DULAG, LEYTE","8",0.0,0.0,11.0,34.8,11.6,2.6,0.0,0.0,0.0,11.4,0.2,71.6,257.4
339,"STA. MARIA - PANGASINAN, PANGASINAN",1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,339,"STA. MARIA - PANGASINAN, PANGASINAN","1",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,339,"STA. MARIA - PANGASINAN, PANGASINAN","1",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.4,1.2,15.6,15.6
373,"TANAY, RIZAL",4-A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.2,0.0,0.0,13.2,373,"TANAY, RIZAL","4-A",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,373,"TANAY, RIZAL","4-A",0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1.8,4.0,0.0,6,19.2
366,"ISING, DAVAO DEL NORTE",11,0.0,33.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.4,366,"ISING, DAVAO DEL NORTE","11",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,15,366,"ISING, DAVAO DEL NORTE","11",0.0,0.0,0.6,0.0,0.6,16.4,0.2,0.0,7.4,0.0,0.0,25.2,73.6
368,"KITCHARAO, AGUSAN DEL NORTE",13,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.2,2.0,3.0,7,368,"KITCHARAO, AGUSAN DEL NORTE","13",7.0,0.0,5.4,6.2,0.0,12.0,9.4,8.0,1.8,3.4,53.2,368,"KITCHARAO, AGUSAN DEL NORTE","13",0.8,0.4,1.8,36.0,69.6,0.4,0.0,0.0,0.0,6.6,1.8,117.4,177.6
875,"LASAM, CAGAYAN",2,,,,,,,,,,,,875,"LASAM, CAGAYAN","2",,,,,,,,,,,,875,"LASAM, CAGAYAN","2",,,,,,,,,,,,,
